0x40	[0x40, nil]
0x0	[0x0, nil]
0x3f	[0x3f, nil]
0x4	[0x4, nil]
0xf	[0xf, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0x8	[0x8, nil]
0xc	[0xc, nil]
0x12	[0x12, nil]
0x14	[0x14, nil]
0x19	[0x19, nil]
0x1c	[0x1c, nil]
0x1d	[0x1d, nil]
0x42	[0x42, nil]
0x45	[0x45, nil]
0x48	[0x48, nil]
0x4c	[0x4c, nil]
0x4d	[0x4d, nil]
0x4f	[0x4f, nil]
0x51	[0x51, nil]
0x53	[0x53, nil]
0x54	[0x54, nil]
0x56	[0x56, nil]
0x57	[0x57, nil]
0x5a	[0x5a, nil]
0x5d	[0x5d, nil]
0x61	[0x61, nil]
0x64	[0x64, nil]
0x67	[0x67, nil]
0xb	[0xb, nil]
0x69	[0x69, nil]
0x66	[0x66, nil]
0x46	[0x46, nil]
0x18	[0x18, nil]
0x5c	[0x5c, nil]
