0x0	0x2
0x20	0x21
0x60	0x62
0x4	0x5
0xf	0x10
0x2	0x4
0x5	0x8
0x8	0x9
0x9	0xb
0xb	0xd
0xd	0xf
0x10	0x11
0x11	0x14
0x14	0x15
0x17	0x1a
0x1a	0x1c
0x1c	0x1e
0x1e	0x20
0x21	0x22
0x22	0x25
0x25	0x26
0x28	0x2a
0x2a	0x2c
0x2c	0x2e
0x2e	0x2f
0x2f	0x30
0x30	0x31
0x31	0x33
0x33	0x35
0x35	0x37
0x37	0x39
0x39	0x3a
0x3a	0x3b
0x3b	0x3c
0x3c	0x5d
0x5d	0x5f
0x5f	0x60
0x62	0x65
0x65	0x67
0x68	0x6b
0x6d	0x70
0x70	0x71
0x71	0x73
0x73	0xa71
0x7f	0x82
0x82	0x83
0x83	0x85
0x85	0xa76
0x8e	0x90
0x92	0x96
0x96	0x99
0x99	0x9b
0x9c	0x9e
0xa71	0x7b
0xa76	0x8d
0x15	0x17
0x26	0x28
0x6b	0x6d
0x7d	0x7f
0x90	0x92
0x9b	0x9c
0x7b	0x7c
0x8d	0x8e
0x7c	0x7d
0x67	0x68
