0x0	0xc
0x5f	0x74
0x84	0x8c
0xa5	0xbf
0xe0	0xe5
0xe5	0xef
0xf3	0xf5
0x123	0x138
0x173	0x178
0x309B0x2f	0x314B0x2f
0x309B0xf5	0x314B0xf5
0x352B0x2ed	0x358B0x2ed
0x32eB0x2ed	0x331B0x2ed
0x349B0x2ed	0x352B0x2ed
0x331B0x2ed	0x33aB0x2ed
0x21dB0x10	0x22eB0x10
0x249B0x10	0x262B0x10
0x266B0x10	0x276B0x10
0x27aB0x10	0x285B0x10
0x28cB0x10	0x2adB0x10
0x2b4B0x10	0x2c9B0x10
0x201B0x232B0x10	0x214B0x232B0x10
0x201B0x23bB0x10	0x214B0x23bB0x10
0x352B0x2cdB0x10	0x358B0x2cdB0x10
0x32eB0x2cdB0x10	0x331B0x2cdB0x10
0x349B0x2cdB0x10	0x352B0x2cdB0x10
0x331B0x2cdB0x10	0x33aB0x2cdB0x10
