0x209	0x94c	0x2d8c	0x2d8c
0x22c	0xab6	0x2dad	0x2dad
0x24d	0xb0f	0x2dce	0x2dce
0x28f	0xb46	0x2a5	0x2a5
0x3fd	0xd33	0x2e01	0x2e01
0x42b	0xe57	0x2e22	0x2e22
0x44c	0xfd3	0x2e43	0x2e43
0x46d	0x1029	0x2a5	0x2a5
0x48f	0x11fd	0x2e64	0x2e64
0x4b0	0x125d	0x2e85	0x2e85
0x4d1	0x12c0	0x2ea6	0x2ea6
0x4f2	0x1306	0x2ed9	0x2ed9
0x507	0x138e	0x2efa	0x2efa
0x535	0x14af	0x2f1b	0x2f1b
0x556	0x162b	0x2f3c	0x2f3c
0x588	0x164e	0x2f78	0x2f78
0x66c	0x1789	0x2f99	0x2f99
0x68d	0x17c9	0x2fcc	0x2fcc
0x6bb	0x17e9	0x2fff	0x2fff
0x6d0	0x180c	0x303b	0x303b
0x6e5	0x182f	0x3077	0x3077
0x716	0x183e	0x30b2	0x30b2
0x72b	0x1875	0x30ee	0x30ee
0x74c	0x18b8	0x3121	0x3121
0x76e	0x18da	0x3154	0x3154
0x783	0x18fd	0x3190	0x3190
0x7a4	0x193a	0x31c3	0x31c3
0x7b9	0x1971	0x31ff	0x31ff
0x7db	0x1a1a	0x3220	0x3220
0x7fc	0x1b84	0x3241	0x3241
0x811	0x1bdf	0x327d	0x327d
0x832	0x1c35	0x329e	0x329e
0x853	0x1c8b	0x32bf	0x32bf
0x868	0x1cae	0x32fb	0x32fb
0x889	0x1ced	0x332e	0x332e
0x89e	0x1cfc	0x3369	0x3369
0x8bf	0x1d57	0x338a	0x338a
0x8e0	0x1d9a	0x33bd	0x33bd
0x8f5	0x1df5	0x33f9	0x33f9
0x916	0x1e0a	0x342c	0x342c
0x937	0x1e28	0x345f	0x345f
0x94c	0x1e0a	0x955	0x955
0x999	0x18b8	0x9d6	0x9d6
0xa40	0x138e	0xa7f	0xa7f
0xab6	0x1e0a	0xabf	0xabf
0xb03	0x1e7e	0x3480	0x3480
0xd33	0x1e0a	0xd3c	0xd3c
0xe57	0x1e0a	0xe60	0xe60
0xea4	0x18b8	0xee1	0xee1
0xf5d	0xd33	0xf9c	0xf9c
0xfd3	0x1e0a	0xfdc	0xfdc
0x1020	0x1f45	0x350c	0x350c
0x12c0	0xb0f	0x12ef	0x12ef
0x12f7	0x201e	0x35b7	0x35b7
0x138e	0x1e0a	0x1397	0x1397
0x14af	0x1e0a	0x14b8	0x14b8
0x14fc	0x18b8	0x1539	0x1539
0x15b5	0x138e	0x15f4	0x15f4
0x164e	0x2b27	0x1656	0x1656
0x1656	0x1e0a	0x165f	0x165f
0x16a3	0x2b52	0x16f3	0x16f3
0x16f3	0x2b52	0x170c	0x170c
0x170c	0x2b52	0x1728	0x1728
0x1789	0xb0f	0x17b8	0x17b8
0x17c0	0x2087	0x3601	0x3601
0x1875	0xb0f	0x3626	0x3626
0x18fd	0x20e9	0x1908	0x1908
0x190f	0xb0f	0x3670	0x3670
0x1971	0x1e0a	0x197a	0x197a
0x1a1a	0x1e0a	0x1a23	0x1a23
0x1a67	0x18b8	0x1aa4	0x1aa4
0x1b0e	0xd33	0x1b4d	0x1b4d
0x1bdf	0x1e0a	0x1be8	0x1be8
0x1c2c	0x2118	0x3695	0x3695
0x1c35	0x1e0a	0x1c3e	0x1c3e
0x1c82	0x21df	0x36b7	0x36b7
0x1cae	0xb0f	0x1cdd	0x1cdd
0x1ce4	0x22a6	0x36fe	0x36fe
0x1d57	0xb0f	0x3723	0x3723
0x1e28	0x1e0a	0x1e31	0x1e31
0x1e75	0x2307	0x3748	0x3748
0x1e7e	0x18b8	0x1ea7	0x1ea7
0x1f11	0xd33	0x1f3c	0x1f3c
0x1f3c	0x23e0	0x376a	0x376a
0x1f45	0x18b8	0x1f6e	0x1f6e
0x1fea	0x138e	0x2015	0x2015
0x2015	0x25b7	0x378c	0x378c
0x201e	0xb0f	0x204d	0x204d
0x2055	0xb0f	0x37d3	0x37d3
0x2087	0xb0f	0x20b6	0x20b6
0x20be	0xb0f	0x381e	0x381e
0x20e9	0xb0f	0x3843	0x3843
0x2118	0x18b8	0x2141	0x2141
0x21ab	0x138e	0x21d6	0x21d6
0x21d6	0x2698	0x3868	0x3868
0x21df	0x18b8	0x2208	0x2208
0x2272	0x138e	0x229d	0x229d
0x229d	0x286f	0x388a	0x388a
0x22a6	0xb0f	0x22d5	0x22d5
0x22dc	0xb0f	0x38d1	0x38d1
0x2307	0x18b8	0x2330	0x2330
0x23ac	0xd33	0x23d7	0x23d7
0x23d7	0x2a46	0x38f7	0x38f7
0x23e0	0x18b8	0x2409	0x2409
0x2485	0x18b8	0x24ae	0x24ae
0x252a	0xd33	0x2555	0x2555
0x2555	0x138e	0x2580	0x2580
0x25b7	0x18b8	0x25e0	0x25e0
0x2636	0x138e	0x2661	0x2661
0x2698	0x18b8	0x26c1	0x26c1
0x273d	0x18b8	0x2766	0x2766
0x27e2	0x138e	0x280d	0x280d
0x280d	0xd33	0x2838	0x2838
0x286f	0x18b8	0x2898	0x2898
0x2914	0x18b8	0x293d	0x293d
0x29b9	0x138e	0x29e4	0x29e4
0x29e4	0x138e	0x2a0f	0x2a0f
0x2a46	0x18b8	0x2a6f	0x2a6f
0x2ac5	0xd33	0x2af0	0x2af0
0x2bc0	0x2bd0	0x3919	0x3919
