0x40	[0x40, nil]
0x0	[0x0, nil]
0x1f	[0x1f, nil]
0x4	[0x4, nil]
0xf	[0xf, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0x8	[0x8, nil]
0x9	[0x9, nil]
0xd	[0xd, nil]
0x10	[0x10, nil]
0x12	[0x12, nil]
0x14	[0x14, nil]
0x19	[0x19, nil]
0x24	[0x24, nil]
0x2a	[0x2a, nil]
0x2f	[0x2f, nil]
0x35	[0x35, nil]
0x3a	[0x3a, nil]
0x45	[0x45, nil]
0x4a	[0x4a, nil]
0x4f	[0x4f, nil]
0x50	[0x50, nil]
0x54	[0x54, nil]
0x57	[0x57, nil]
0x5e	[0x5e, nil]
0x61	[0x61, nil]
0x66	[0x66, nil]
0x68	[0x68, nil]
0x69	[0x69, nil]
0x6d	[0x6d, nil]
0x73	[0x73, nil]
0x76	[0x76, nil]
0x79	[0x79, nil]
0x7a	[0x7a, nil]
0x7c	[0x7c, nil]
0x81	[0x81, nil]
0x86	[0x86, nil]
0x88	[0x88, nil]
0x89	[0x89, nil]
0x8d	[0x8d, nil]
0x93	[0x93, nil]
0x96	[0x96, nil]
0x9b	[0x9b, nil]
0x9d	[0x9d, nil]
0x9f	[0x9f, nil]
0xa0	[0xa0, nil]
0xa3	[0xa3, nil]
0xa5	[0xa5, nil]
0xb0	[0xb0, nil]
0xb2	[0xb2, nil]
0xb3	[0xb3, nil]
0xb7	[0xb7, nil]
0xbd	[0xbd, nil]
0xc0	[0xc0, nil]
0xdd	[0xdd, nil]
0xdf	[0xdf, nil]
0xe0	[0xe0, nil]
0xe4	[0xe4, nil]
0xea	[0xea, nil]
0xed	[0xed, nil]
0xf0	[0xf0, nil]
0xf1	[0xf1, nil]
0xf3	[0xf3, nil]
0xf8	[0xf8, nil]
0xfd	[0xfd, nil]
0xff	[0xff, nil]
0x100	[0x100, nil]
0x104	[0x104, nil]
0x10a	[0x10a, nil]
0x10d	[0x10d, nil]
0x144	[0x144, nil]
0x146	[0x146, nil]
0x149	[0x149, nil]
0x150	[0x150, nil]
0x151	[0x151, nil]
0x153	[0x153, nil]
0x155	[0x155, nil]
0x157	[0x157, nil]
0x158	[0x158, nil]
0x15a	[0x15a, nil]
0x15b	[0x15b, nil]
0x15c	[0x15c, nil]
0x160	[0x160, nil]
0x162	[0x162, nil]
0x163	[0x163, nil]
0x167	[0x167, nil]
0x169	[0x169, nil]
0x16c	[0x16c, nil]
0x16e	[0x16e, nil]
0x171	[0x171, nil]
0x173	[0x173, nil]
0x175	[0x175, nil]
0x178	[0x178, nil]
0x17a	[0x17a, nil]
0x18e	[0x18e, nil]
0x190	[0x190, nil]
0x191	[0x191, nil]
0x194	[0x194, nil]
0x196	[0x196, nil]
0x198	[0x198, nil]
0x1a3	[0x1a3, nil]
0x1a6	[0x1a6, nil]
0x1a7	[0x1a7, nil]
0x1a9	[0x1a9, nil]
0x1ab	[0x1ab, nil]
0x1ad	[0x1ad, nil]
0x1ae	[0x1ae, nil]
0x1b1	[0x1b1, nil]
0x1b5	[0x1b5, nil]
0x1b6	[0x1b6, nil]
0x1b9	[0x1b9, nil]
0x1bb	[0x1bb, nil]
0x1dd	[0x1dd, nil]
0x1de	[0x1de, nil]
0x1e0	[0x1e0, nil]
0x1e3	[0x1e3, nil]
0x1e6	[0x1e6, nil]
0x208	[0x208, nil]
0x209	[0x209, nil]
0x20b	[0x20b, nil]
0x20d	[0x20d, nil]
0x20f	[0x20f, nil]
0x210	[0x210, nil]
0x211	[0x211, nil]
0x212	[0x212, nil]
0x213	[0x213, nil]
0x215	[0x215, nil]
0x217	[0x217, nil]
0x219	[0x219, nil]
0x21a	[0x21a, nil]
0x21c	[0x21c, nil]
0x21d	[0x21d, nil]
0x224	[0x224, nil]
0x227	[0x227, nil]
0x22a	[0x22a, nil]
0x22f	[0x22f, nil]
0x231	[0x231, nil]
0x233	[0x233, nil]
0x235	[0x235, nil]
0x236	[0x236, nil]
0x237	[0x237, nil]
0x238	[0x238, nil]
0x5fd	[0x5fd, nil]
0x600	[0x600, nil]
0x604	[0x604, nil]
0x605	[0x605, nil]
0x606	[0x606, nil]
0x607	[0x607, nil]
0x60f	[0x60f, nil]
0x613	[0x613, nil]
0x61a	[0x61a, nil]
0x61d	[0x61d, nil]
0x61e	[0x61e, nil]
0x61f	[0x61f, nil]
0x62a	[0x62a, nil]
0x62b	[0x62b, nil]
0x62c	[0x62c, nil]
0x636	[0x636, nil]
0x63a	[0x63a, nil]
0x63d	[0x63d, nil]
0x63e	[0x63e, nil]
0x63f	[0x63f, nil]
0x648	[0x648, nil]
0x64b	[0x64b, nil]
0x64c	[0x64c, nil]
0x64d	[0x64d, nil]
0x651	[0x651, nil]
0x654	[0x654, nil]
0x659	[0x659, nil]
0x65b	[0x65b, nil]
0x65c	[0x65c, nil]
0x65f	[0x65f, nil]
0x660	[0x660, nil]
0x662	[0x662, nil]
0x665	[0x665, nil]
0x666	[0x666, nil]
0x668	[0x668, nil]
0x669	[0x669, nil]
0x66b	[0x66b, nil]
0x66f	[0x66f, nil]
0x672	[0x672, nil]
0x673	[0x673, nil]
0x674	[0x674, nil]
0x675	[0x675, nil]
0x679	[0x679, nil]
0x67c	[0x67c, nil]
0x682	[0x682, nil]
0x689	[0x689, nil]
0x68d	[0x68d, nil]
0x68e	[0x68e, nil]
0x68f	[0x68f, nil]
0x690	[0x690, nil]
0x691	[0x691, nil]
0x69a	[0x69a, nil]
0x69d	[0x69d, nil]
0x69e	[0x69e, nil]
0x6a1	[0x6a1, nil]
0x6a4	[0x6a4, nil]
0x6a8	[0x6a8, nil]
0x6a9	[0x6a9, nil]
0x867	[0x867, nil]
0x86c	[0x86c, nil]
0x86e	[0x86e, nil]
0x86f	[0x86f, nil]
0x872	[0x872, nil]
0x874	[0x874, nil]
0x877	[0x877, nil]
0x879	[0x879, nil]
0x89c	[0x89c, nil]
0x8a1	[0x8a1, nil]
0x8a3	[0x8a3, nil]
0x8a4	[0x8a4, nil]
0x8a7	[0x8a7, nil]
0x8a9	[0x8a9, nil]
0x8ac	[0x8ac, nil]
0x8ae	[0x8ae, nil]
0x934	[0x934, nil]
0x936	[0x936, nil]
0x937	[0x937, nil]
0x939	[0x939, nil]
0x93b	[0x93b, nil]
0x93d	[0x93d, nil]
0x93e	[0x93e, nil]
0x941	[0x941, nil]
0x944	[0x944, nil]
0x946	[0x946, nil]
0x947	[0x947, nil]
0x98c	[0x98c, nil]
0x98e	[0x98e, nil]
0x98f	[0x98f, nil]
0x991	[0x991, nil]
0x993	[0x993, nil]
0x995	[0x995, nil]
0x996	[0x996, nil]
0x999	[0x999, nil]
0x99c	[0x99c, nil]
0x99e	[0x99e, nil]
0x99f	[0x99f, nil]
0xa5d	[0xa6a, nil]
0xa5d	[0x1e, nil]
0xa5f	[0xa6d, nil]
0xa5f	[0x29, nil]
0xa61	[0xa70, nil]
0xa61	[0x34, nil]
0xa63	[0x3f, nil]
0xa63	[0xa73, nil]
0xa65	[0x4a, nil]
0xa65	[0xa76, nil]
0x3bb0x0	[0x3bb, nil]
0x3b60x0	[0x3b6, nil]
0x3b10x0	[0x3b1, nil]
0x3b10xa69	[0x3b1, nil]
0x3aa0x0	[0x3aa, nil]
0x3a40x0	[0x3a4, nil]
0x3a00x0	[0x3a0, nil]
0x39c0x0	[0x39c, nil]
0x13d0x0	[0x13d, nil]
0x13d0xa69	[0x13d, nil]
0x1150x0	[0x115, nil]
0x1150xa69	[0x115, nil]
0x3bb0xa69	[0x3bb, nil]
0x3ba0x0	[0x3ba, nil]
0x3ba0xa69	[0x3ba, nil]
0x3b60xa69	[0x3b6, nil]
0x3b50x0	[0x3b5, nil]
0x3b50xa69	[0x3b5, nil]
0x3b00x0	[0x3b0, nil]
0x3b00xa69	[0x3b0, nil]
0x3aa0xa69	[0x3aa, nil]
0x3a90x0	[0x3a9, nil]
0x3a90xa69	[0x3a9, nil]
0x3a80x0	[0x3a8, nil]
0x3a80xa69	[0x3a8, nil]
0x3a70x0	[0x3a7, nil]
0x3a70xa69	[0x3a7, nil]
0x3a40xa69	[0x3a4, nil]
0x3a30x0	[0x3a3, nil]
0x3a30xa69	[0x3a3, nil]
0x3a00xa69	[0x3a0, nil]
0x39c0xa69	[0x39c, nil]
0x39b0x0	[0x39b, nil]
0x39b0xa69	[0x39b, nil]
0x19f0x65	[0x19f, nil]
0x19c0x65	[0x19c, nil]
0x19a0x65	[0x19a, nil]
0x1390x0	[0x139, nil]
0x1390xa69	[0x139, nil]
0x1180x0	[0x118, nil]
0x1180xa69	[0x118, nil]
0x1120x0	[0x112, nil]
0x1120xa69	[0x112, nil]
0xac0x85	[0xac, nil]
0xac0xaf	[0xac, nil]
0xac0xfc	[0xac, nil]
0xa90x85	[0xa9, nil]
0xa90xaf	[0xa9, nil]
0xa90xfc	[0xa9, nil]
0xa70x85	[0xa7, nil]
0xa70xaf	[0xa7, nil]
0xa70xfc	[0xa7, nil]
0x3bfS0x143	[0x14c, [0x3bf, nil]]
0x3e0S0x143	[0x14c, [0x3e0, nil]]
0x3e1S0x143	[0x14c, [0x3e1, nil]]
0x3e3S0x143	[0x14c, [0x3e3, nil]]
0x3e5S0x143	[0x14c, [0x3e5, nil]]
0x3e7S0x143	[0x14c, [0x3e7, nil]]
0x3e8S0x143	[0x14c, [0x3e8, nil]]
0x3e9S0x143	[0x14c, [0x3e9, nil]]
0x3bfS0x223	[0x22d, [0x3bf, nil]]
0x3e0S0x223	[0x22d, [0x3e0, nil]]
0x3e1S0x223	[0x22d, [0x3e1, nil]]
0x3e3S0x223	[0x22d, [0x3e3, nil]]
0x3e5S0x223	[0x22d, [0x3e5, nil]]
0x3e7S0x223	[0x22d, [0x3e7, nil]]
0x3e8S0x223	[0x22d, [0x3e8, nil]]
0x3e9S0x223	[0x22d, [0x3e9, nil]]
0x23eS0xbb	[0xc3, [0x23e, nil]]
0x240S0xbb	[0xc3, [0x240, nil]]
0x243S0xbb	[0xc3, [0x243, nil]]
0x264S0xbb	[0xc3, [0x264, nil]]
0x5d9S0x60e	[0x616, [0x5d9, nil]]
0x5c8S0x60e	[0x616, [0x5c8, nil]]
0x5c9S0x60e	[0x616, [0x5c9, nil]]
