0x0	0xc
0x1a	0x2b
0x1290	0x129e
0x1ba4	0x1bec
0x1c95	0x1c9f
0x10	0x1a
0x97	0xa3
0x66	0x72
0xd3	0xdf
0x102	0x127
0x936	0x988
0x142	0x156
0x127	0x130
0x9d8	0xa23
0x1f7	0x210
0x214	0x222
0x226	0x244
0x248	0x2a4
0x2a8	0x2b6
0x2ba	0x2d8
0xbd4	0xbe2
0xf18	0xf63
0x419	0x432
0x436	0x444
0x448	0x466
0x46a	0x4c9
0x4cd	0x4db
0x4df	0x4fd
0x101c	0x1072
0x5c3	0x5dc
0x5e0	0x5ee
0x5f2	0x610
0x614	0x690
0x694	0x6a2
0x6a6	0x6c4
0x11fa	0x1208
0x737	0x75c
0x15b5	0x1607
0x777	0x78b
0x75c	0x765
0x176a	0x17c0
0x1855	0x18a0
0x1969	0x1985
0x9a3	0x9b1
0x9b1	0x9c5
0xab0	0xbce
0xbe8	0xbed
0xc5a	0xca6
0xd47	0xd51
0xcbb	0xcd2
0xcd3	0xcea
0xca6	0xcb0
0xd55	0xd9e
0xda8	0xe04
0xda7	0xda8
0x1b98	0x1ba4
0xe1f	0xe92
0xe04	0xe0d
0xe92	0xe9b
0xff4	0xff9
0x1d46	0x1d7e
0x10a3	0x10f0
0x110b	0x111f
0x10f0	0x10f9
0x1138	0x1156
0x1171	0x1185
0x1156	0x115f
0x120e	0x1213
0x1280	0x1286
0x1488	0x1503
0x129f	0x12ef
0x12f0	0x1302
0x13a6	0x13ac
0x1315	0x13a6
0x1434	0x143f
0x13b7	0x13ce
0x13cf	0x13e8
0x1440	0x146d
0x146e	0x147b
0x1286	0x1290
0x151e	0x157a
0x1503	0x150c
0x157a	0x1583
0x1622	0x1630
0x1630	0x1644
0x17c4	0x17df
0x1931	0x1937
0x195e	0x1963
0x1c4c	0x1c95
0x1c3e	0x1c43
0x1d41	0x1d42
0x1ca3	0x1d2f
0x1d34	0x1d39
0x1d3d	0x1d41
0x1db0	0x1db5
0x1dc3	0x1e10
0x17d	0x18f
0x1e1	0x1f3
0x361	0x373
0x403	0x415
0x555	0x567
0x5ad	0x5bf
0x7b2	0x7c4
0x816	0x828
0x870	0x882
0x8b4	0x8c6
0x2b	0x36
0x36	0x41
0x41	0x4c
0x4c	0x57
0x57	0x62
0x72	0x7d
0x7d	0x88
0x88	0x93
0xa3	0xae
0xae	0xb9
0xb9	0xc4
0xc4	0xcf
0xdf	0xea
0xea	0xf5
0x156	0x16f
0x78b	0x7a4
0x988	0x990
0x9c5	0x9ce
0xbe2	0xbe8
0xcb0	0xcba
0xf63	0xff4
0x111f	0x1138
0x1185	0x119e
0x1208	0x120e
0x1302	0x1314
0x13ac	0x13b6
0x1607	0x160f
0x1644	0x164d
0x18a0	0x1931
0x1bec	0x1c3e
0x1d2f	0x1d34
0x1d7e	0x1db0
0xf02B0x343	0xf11B0x343
0xeccB0x343	0xf02B0x343
0x1f12B0x1076	0x1f40B0x1076
0x1f48B0x1076	0x1f51B0x1076
0x1f61B0x1076	0x1f70B0x1076
0x1f73B0x1076	0x1f7cB0x1076
0x1f70B0x1076	0x1f73B0x1076
0x1fa1B0x1f8fB0x1076	0x1faaB0x1f8fB0x1076
0x1f12B0x108c	0x1f40B0x108c
0x1f48B0x108c	0x1f51B0x108c
0x1f61B0x108c	0x1f70B0x108c
0x1f73B0x108c	0x1f7cB0x108c
0x1f70B0x108c	0x1f73B0x108c
0x1fa1B0x1f8fB0x108c	0x1faaB0x1f8fB0x108c
0x1f12B0x1989	0x1f40B0x1989
0x1f48B0x1989	0x1f51B0x1989
0x1f61B0x1989	0x1f70B0x1989
0x1f73B0x1989	0x1f7cB0x1989
0x1f70B0x1989	0x1f73B0x1989
0x1fa1B0x1f8fB0x1989	0x1faaB0x1f8fB0x1989
0x1f12B0x19ef	0x1f40B0x19ef
0x1f48B0x19ef	0x1f51B0x19ef
0x1f61B0x19ef	0x1f70B0x19ef
0x1f73B0x19ef	0x1f7cB0x19ef
0x1f70B0x19ef	0x1f73B0x19ef
0x1fa1B0x1f8fB0x19ef	0x1faaB0x1f8fB0x19ef
0x1f8eB0x1076	0x1f8fB0x1076
0x1fa0B0x1f8fB0x1076	0x1fa1B0x1f8fB0x1076
0x1f8eB0x108c	0x1f8fB0x108c
0x1fa0B0x1f8fB0x108c	0x1fa1B0x1f8fB0x108c
0x1f8eB0x1989	0x1f8fB0x1989
0x1fa0B0x1f8fB0x1989	0x1fa1B0x1f8fB0x1989
0x1f8eB0x19ef	0x1f8fB0x19ef
0x1fa0B0x1f8fB0x19ef	0x1fa1B0x1f8fB0x19ef
