0x0	__function_selector__
0x66c	withdrawToken(address,address,uint256)
0x6b1	claim(uint128,uint256,bool,uint256,bytes)
0x78a	requestAccess(bool)
0x7a9	claimingFeeNumerator()
0x7be	updateRewardPerBlock(uint256,uint256)
0x7ee	acceptAdmin()
0x803	recurringPaymentCycleInBlocks()
0x818	naasRequestingFeeInWei()
0x82d	entityActive(address)
0x874	rewardPerBlockDenominator()
0x889	entityNodeClaimedOnBlock(bytes)
0x93a	withdrawEth(address,uint256)
0x973	nodeLifetimeReward()
0x988	rewardPerBlockNewEffectiveBlock()
0x99d	hasMaxPayments(address,uint128)
0x9df	doesNodeExist(address,uint128)
0xa21	pendingAdmin()
0xa52	getNodePaidOn(address,uint128)
0xa94	isNodeBYON(address,uint128)
0xad6	superAdmin()
0xaeb	traunch(address)
0xb1e	updateLimits(uint128,uint256)
0xb57	disableNodeAdmin(address,uint128)
0xb99	isEntityActive(address)
0xbcc	payFee(uint128,uint256,bytes)
0xc4f	updateRecurringNaaSFee(uint256)
0xc79	getReward(address,uint128)
0xcbb	updateParameterAdmin(address)
0xcee	pendingSuperAdmin()
0xd03	V20_DEPLOYED_AT_BLOCK()
0xd18	entityBlockLastClaimedOn(address)
0xd4b	entityIndex(address)
0xd7e	setPendingAdmin(address)
0xdb1	naasRewardPerBlockNumeratorNew()
0xdc6	entityNodeClaimedTotal(bytes)
0xe77	canBePaid(address,uint128)
0xeb9	updateStrongFee(uint256)
0xee3	updateNodeLifetimeReward(uint256)
0xf0d	entities(uint256)
0xf37	recurringNaaSFeeInWei()
0xf4c	currentTraunch()
0xf61	hasNodeExpired(address,uint128)
0xfa3	requestingFeeInWei()
0xfb8	updateNaaSRewardPerBlock(uint256,uint256)
0xfe8	isNodeActive(address,uint128)
0x102a	rewardPerBlockNumeratorNew()
0x103f	secondsPerBlock()
0x1054	updateGracePeriodInBlocks(uint256)
0x107e	entityNodeTraunch(bytes)
0x112f	getNodeId(address,uint128)
0x11e6	parameterAdmin()
0x11fb	claimingFeeDenominator()
0x1210	updateClaimingFee(uint256,uint256)
0x1240	setEntityActiveStatus(address,bool)
0x127b	naasStrongFeeInWei()
0x1290	recurringFeeInWei()
0x12a5	strongNFTBonus()
0x12ba	strongToken()
0x12cf	recoverSigner(bytes32,bytes)
0x1387	entityNodeIsBYON(bytes)
0x1438	rewardPerBlockNumerator()
0x144d	getEntityNodeClaimedTotal(address,uint128)
0x148f	updateNaasRequestingFee(uint256)
0x14b9	entityNodeCount(address)
0x1508	paidOnBlock(address)
0x153b	rewardBalance()
0x1550	entityNodeIsActive(bytes)
0x1601	updateServiceAdmin(address)
0x1634	updateRequestingFee(uint256)
0x165e	entityIsNaaS(address)
0x1691	deposit(uint256)
0x16bb	setTokenContract(address)
0x16ee	removedTokens()
0x1703	claimingFeeInWei()
0x1718	gracePeriodInBlocks()
0x172d	feeCollector()
0x1742	naasRewardPerBlockDenominator()
0x1757	addNFTBonusContract(address)
0x178a	init(address,address,address,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,string)
0x18ae	getRewardByBlock(address,uint128,uint256)
0x18f6	getEntityNodeActiveCount(address)
0x1929	updateSecondsPerBlock(uint256)
0x1953	naasRewardPerBlockDenominatorNew()
0x1968	updateFeeCollector(address)
0x199b	updateRewardPerBlockNew(uint256,uint256,uint256,uint256,uint256)
0x19dd	setPendingSuperAdmin(address)
0x1a10	entityNodePaidOnBlock(bytes)
0x1ac1	naasRewardPerBlockNumerator()
0x1ad6	strongFeeInWei()
0x1aeb	getRewardAll(address,uint256)
0x1b24	serviceAdmin()
0x1b39	activeEntities()
0x1b4e	maxNodes()
0x1b63	migrateAll(address,uint256)
0x1b8f	strongPool()
0x1ba4	updateNaasStrongFee(uint256)
0x1bce	desciption()
0x1be3	acceptSuperAdmin()
0x1bf8	updateRecurringPaymentCycleInBlocks(uint256)
0x1c22	rewardPerBlockDenominatorNew()
0x1c37	isNodeOverDue(address,uint128)
0x1c79	maxPaymentPeriods()
0x1c8e	updateRecurringFee(uint256)
0x1cb8	withdraw(address,uint256)
0x1cf1	admin()
0x1d06	entityNodeDeactivatedCount(address)
0x1d39	initDone()
0x1d4e	requestPending(address)
0x2e24	0x2e24
0x2edd	0x2edd
0x2fe2	0x2fe2
0x3963	0x3963
0x3cbe	0x3cbe
0x4518	0x4518
0x4a6b	0x4a6b
0x4de6	0x4de6
0x5282	0x5282
0x561d	0x561d
0x5677	0x5677
0x56d0	0x56d0
0x5737	0x5737
0x5910	0x5910
0x596d	0x596d
0x5a7c	0x5a7c
0x5b2d	0x5b2d
0x5e28	0x5e28
0x5ea6	0x5ea6
0x5ec4	0x5ec4
0x5f4f	()
0x5f4f	fallback()
