0x8	0x10
0x27	0x130
0x32	0xb8
0x3d	0x7c
0x78	0x2323
0xb4	0x2347
0xc0	0xff
0xfb	0x236b
0x12c	0x238f
0x138	0x1be
0x143	0x182
0x17e	0x23b3
0x1ba	0x23d7
0x1c6	0x205
0x201	0x23fb
0x237	0x2490x236
0x23a	0x244
0x260	0x2670x25f
0x263	0x4a9
0x275	0x2490x274
0x278	0x282
0x288	0x2490x287
0x28b	0x295
0x296	0x573
0x29b	0x2ad
0x29e	0x2a8
0x2b1	0x246f
0x2bb	0x2490x2ba
0x2c3	0x2490x2c2
0x2cb	0x2d20x2ca
0x2ce	0x79d
0x2e0	0x24bf
0x2e3	0x2ed
0x2ee	0x7ad
0x2f5	0x2490x2f4
0x2f8	0x979
0x2fd	0x2490x2fc
0x300	0x30a
0x30b	0x988
0x310	0x2670x30f
0x313	0x9a5
0x318	0x2490x317
0x31b	0x325
0x32b	0x2670x32a
0x32e	0x338
0x339	0xa77
0x33e	0x2670x33d
0x341	0xa92
0x346	0x2d20x345
0x349	0x353
0x354	0xaa1
0x359	0x2490x358
0x361	0x2490x360
0x364	0xb8a
0x369	0x370
0x36c	0xb90
0x374	0x24e0
0x37e	0x2490x37d
0x386	0x2490x385
0x389	0x393
0x399	0x2490x398
0x39c	0x3a6
0x3a7	0xc51
0x3ac	0x2670x3ab
0x3af	0xc63
0x3b4	0x2d20x3b3
0x3bc	0x2490x3bb
0x3bf	0x3c9
0x3cf	0x2508
0x3d2	0x3dc
0x3dd	0xd0c
0x3e2	0x2529
0x3e5	0x3ef
0x3f0	0xdc5
0x3f5	0x2d20x3f4
0x3f8	0xe30
0x3fd	0x254a
0x400	0x40a
0x410	0x2490x40f
0x413	0x1101
0x418	0x256b
0x41b	0x425
0x42b	0x258c
0x42e	0x438
0x43e	0x2490x43d
0x441	0x114f
0x446	0x2490x445
0x449	0x453
0x459	0x2490x458
0x45c	0x466
0x46c	0x2490x46b
0x46f	0x12b1
0x474	0x25ad
0x477	0x481
0x487	0x2670x486
0x48a	0x12e4
0x4db	0x25ce
0x4df	0x4a10x4b8
0x526	0x52e0x4b8
0x58a	0x5b2
0x58d	0x596
0x592	0x13ea
0x597	0x5a6
0x5b8	0x5c1
0x5bd	0x25f2
0x5e4	0x607
0x5ed	0x5f4
0x5f0	0x18a3
0x601	0x5ec
0x617	0x6dd
0x61b	0x62b
0x629	0x1407
0x6b6	0x6bb
0x6cc	0x6d4
0x6d0	0x6dd
0x6d9	0x613
0x6e1	0x6ed
0x7ae	0x7b5
0x7b6	0x7da
0x7c9	0x26c3
0x7de	0x7e5
0x7ed	0x7f4
0x803	0x838
0x807	0x810
0x846	0x861
0x859	0x26eb
0x866	0x90d
0x86d	0x874
0x876	0x891
0x87a	0x889
0x88d	0x8ee
0x894	0x8ad
0x897	0x89e
0x8b2	0x8c6
0x8c9	0x8e8
0x8cd	0x2713
0x8ef	0x8f6
0x8fa	0x905
0x8fe	0x273e
0x909	0x93b
0x90e	0x91d
0x921	0x928
0x92c	0x937
0x930	0x2769
0x962	0x96b
0x9da	0x9e3
0x9f3	0x9fb
0xa02	0xa0f
0xa27	0xa33
0xa60	0xa6a
0xa66	0xa6e
0xabf	0xad0
0xada	0xaeb
0xaf5	0xb06
0xb0b	0xb1e
0xb0f	0x2794
0xb22	0xb33
0xb2f	0x27bf
0xb34	0xb81
0xb37	0xb72
0xb3b	0x27e1
0xb47	0x280c
0xb4d	0x2837
0xb53	0xb5a
0xbab	0x74d0xba8
0xbae	0xbb5
0xbf4	0x2862
0xc05	0x2887
0xc25	0xc32
0xc42	0x52e0xbc4
0xcac	0xcfc
0xcc0	0xcd1
0xcd2	0xcdc
0xcd8	0xcf4
0xce0	0xcf1
0xcf8	0x28ad
0xcfd	0xd05
0xd08	0x28d1
0xd0d	0xd14
0xd15	0xd30
0xd28	0x28f5
0xd3f	0xd5a
0xd52	0x291d
0xdc6	0xdcd
0xdce	0xde9
0xde1	0x2945
0xdf7	0xe12
0xe0a	0x296d
0xe4e	0xe69
0xe61	0x2995
0xe6d	0xe74
0xe7c	0xe83
0xe92	0xec7
0xe96	0xe9f
0xecd	0xee8
0xee0	0x29bd
0xeeb	0xef3
0xf01	0x10f5
0xf0b	0xf10
0xf31	0xf47
0xf49	0xf5f
0xf60	0xf7b
0xf73	0x29e5
0xf82	0xf87
0xf92	0xf9b
0xfa1	0xfa8
0xfaa	0xfb2
0xfae	0x10ed
0xfb7	0xfbe
0xfe3	0xff2
0x1024	0x1033
0x107e	0x1088
0x10b7	0x10c6
0x10f1	0xefb
0x116b	0x11d1
0x1175	0x1186
0x118b	0x11cb
0x1192	0x11c3
0x1198	0x2a75
0x119c	0x11ae
0x11b2	0x2aa0
0x11c7	0x2acb
0x11cd	0x2af0
0x11d2	0x11db
0x11de	0x2b15
0x11e5	0x11ec
0x11ed	0x1208
0x1200	0x2b3a
0x1227	0x1234
0x1244	0x124c
0x1253	0x1260
0x1278	0x1284
0x128b	0x1291
0x1294	0x2b62
0x1298	0x2b88
0x12fc	0x130e
0x1318	0x132a
0x1334	0x1346
0x134b	0x135e
0x134f	0x2bf8
0x1387	0x13ba
0x138b	0x2c23
0x1399	0x2c4e
0x139d	0x13ad
0x13cf	0x2c790x13c5
0x13f7	0x1400
0x13fc	0x2cc7
0x1414	0x1419
0x1434	0x2ced
0x146f	0x16bf
0x1476	0x2d13
0x14b1	0x16f6
0x14b9	0x14c4
0x14c0	0x2d39
0x14cc	0x14d1
0x14d4	0x2d5e
0x14e7	0x2d84
0x150f	0x155a
0x151f	0x1539
0x153a	0x1555
0x154d	0x2dac
0x1556	0x2dd4
0x1565	0x156c
0x16c4	0x16e0
0x16d7	0x2e47
0x16e7	0x16ec
0x16fe	0x171a
0x1711	0x2e6f
0x1725	0x172e
0x172a	0x1855
0x172f	0x1762
0x175e	0x2e97
0x1766	0x2ebc
0x1896	0x2fa3
0x2214	0x4a10x2211
0x2218	0x222c
0x2283	0x22770x2282
0x2295	0x22770x2294
0x3520	0x35e0
0x3522	0x35d1
0x3524	0x35d4
0x3526	0x35d7
0x3528	0x35da
0x352a	0x35dd
0x352c	0x35c2
0x352e	0x35c5
0x3530	0x35c8
0x3532	0x35cb
0x3534	0x35ce
0x3536	0x35b3
0x3538	0x35b6
0x353a	0x35b9
0x353c	0x35bc
0x353e	0x35bf
0x3540	0x35a7
0x3542	0x35aa
0x3544	0x35ad
0x3546	0x35b0
0x3548	0x3598
0x354a	0x359b
0x354c	0x359e
0x354e	0x35a1
0x3550	0x35a4
0x3552	0x3589
0x3554	0x358c
0x3556	0x358f
0x3558	0x3592
0x355a	0x3595
0x355c	0x357a
0x355e	0x357d
0x3560	0x3580
0x3562	0x3583
0x3564	0x3586
0x3566	0x356e
0x3568	0x3571
0x356a	0x3574
0x356c	0x3577
0x22820x227a	0x34fb0x2282
0x22940x227a	0x34fb0x2294
0x4b80x13e2	0x2c9f0x4b8
0xbc40x13e2	0x2c9f0xbc4
0x13c50x13e2	0x2c9f0x13c5
0x4b80x13cf	0x2c790x4b8
0xbc40x13cf	0x2c790xbc4
0x4b80x571	0x13c50x4b8
0xbc40x571	0x13c50xbc4
0x4b80x55a	0x5660x4b8
0xbc40x55a	0x5660xbc4
0x4b80x535	0x5420x4b8
0xbc40x535	0x5420xbc4
0x2ca0x2d6	0x24970x2ca
0x3450x2d6	0x24970x345
0x3b30x2d6	0x24970x3b3
0x3f40x2d6	0x24970x3f4
0x25f0x26b	0x24470x25f
0x30f0x26b	0x24470x30f
0x32a0x26b	0x24470x32a
0x33d0x26b	0x24470x33d
0x3ab0x26b	0x24470x3ab
0x4860x26b	0x24470x486
0x2360x24d	0x241f0x236
0x2740x24d	0x241f0x274
0x2870x24d	0x241f0x287
