0x0	__function_selector__
0x22a	finalizeNewManager()
0x241	initialized()
0x26a	nyanVoting()
0x29b	rewardsContract()
0x2b0	nextVotingPeriod()
0x2d7	topCandidate()
0x2ec	checkFundManagerAllowance(address,uint256)
0x325	managers(uint256)
0x34f	devFund()
0x364	updateCode(address)
0x397	canBeginVoting()
0x3ac	topCandidateVotes()
0x3c1	proxiableUUID()
0x3d6	setManagerLimit(uint32)
0x406	adjustFundManagerAllowance(address,uint256,uint256)
0x445	votingBuffer()
0x45a	registry()
0x46f	managerLimit()
0x49d	getManagerLimit()
0x4b2	owner()
0x4c7	replaceManager(address,uint256)
0x4f3	registerCandidate(string)
0x599	initConstructor(uint32,uint256,uint256)
0x5d5	managerCandidates(address)
0x68e	contractManager()
0x6a3	beginVoting()
0x6b8	fundContract()
0x6cd	relinquishOwnership()
0x6e2	initialAllowance()
0x6f7	setContracts(address,address)
0x732	selfManager()
0x747	isFundManager(address)
0x77a	managerStruct(address)
0x85e	manualCheckIn()
0x873	isSelfManager()
0x888	connectorContract()
0x89d	allCandidates(uint256)
0x8c7	0x8c7
0x1ac8	0x1ac8
0x1be5	0x1be5
0x1cdf	0x1cdf
0x1e0e	0x1e0e
0x1f5b	0x1f5b
0x1fc0	0x1fc0
0x203a	0x203a
0x2059	0x2059
0x2bae	()
0x2bae	fallback()
