0x40	0x42
0x0	0x2
0x1f	0x21
0x4	0x5
0xf	0x12
0x2	0x4
0x5	0x7
0x7	0x8
0x8	0xb
0xc	0xf
0x12	0x14
0x14	0x15
0x15	0x20aa
0x1a	0x1c
0x1c	0x1d
0x1d	0x1f
0x21	0x26
0x26	0x27
0x27	0x2a
0x2c	0x31
0x31	0x32
0x32	0x35
0x37	0x3c
0x3c	0x3d
0x3d	0x40
0x42	0x47
0x47	0x20ac
0x4d	0x52
0x52	0x20ae
0x58	0x5d
0x5d	0x20b0
0x62	0x65
0x68	0x6d
0x6d	0x20b2
0x73	0x78
0x78	0x20b4
0x7e	0x83
0x83	0x20b6
0x88	0x8b
0x8e	0x93
0x93	0x94
0x94	0x97
0x99	0x9e
0x9e	0x20b8
0xa4	0xa9
0xa9	0x20ba
0xaf	0xb4
0xb4	0x20bc
0xb9	0xbc
0xbf	0xc4
0xc4	0x20be
0xca	0xcf
0xcf	0x20c0
0xd5	0xda
0xda	0x20c2
0xdf	0xe2
0xe5	0xea
0xea	0xeb
0xeb	0xee
0xf0	0xf5
0xf5	0xf6
0xf6	0xf9
0xfb	0x100
0x100	0x20c4
0x106	0x10b
0x10b	0x20c6
0x111	0x116
0x116	0x20c8
0x11b	0x11e
0x121	0x126
0x126	0x20ca
0x12c	0x131
0x131	0x20cc
0x137	0x13c
0x13c	0x20ce
0x141	0x144
0x147	0x14c
0x14c	0x14d
0x14d	0x150
0x152	0x157
0x157	0x20d0
0x15d	0x162
0x162	0x20d2
0x168	0x16d
0x16d	0x20d4
0x172	0x175
0x178	0x17d
0x17d	0x20d6
0x183	0x188
0x188	0x20d8
0x18e	0x191
0x193	0x196
0x196	0x199
0x210	0x213
0x213	0x216
0x22a	0x22d
0x22d	0x230
0x230	0x231
0x231	0x232
0x232	0x235
0x235	0x236
0x236	0x237
0x237	0x23a
0x23b	0x23e
0x241	0x257
0x257	0x258
0x258	0x25a
0x25a	0x25c
0x25c	0x25d
0x25d	0x25e
0x25e	0x261
0x277	0x27a
0x27a	0x27d
0x27f	0x282
0x282	0x285
0x285	0x286
0x286	0x287
0x287	0x28a
0x28a	0x28b
0x28b	0x28c
0x28c	0x28f
0x290	0x293
0x296	0x2ac
0x2ac	0x2ae
0x2ae	0x2b0
0x2b0	0x2b3
0x2b3	0x2b4
0x2b4	0x2b7
0x2b7	0x2b9
0x2b9	0x2bb
0x2bb	0x2bc
0x2bc	0x2bd
0x2bd	0x2c0
0x2c2	0x2c5
0x2c5	0x2c8
0x2ca	0x2cd
0x2cd	0x2ce
0x2ce	0x2d2
0x2d2	0x2d4
0x2d5	0x2d9
0x2d9	0x2da
0x2da	0x2dc
0x2dc	0x2de
0x2e0	0x2e3
0x2e3	0x2e6
0x2e8	0x2eb
0x2eb	0x2ee
0x2ee	0x2ef
0x2ef	0x2f0
0x2f0	0x2f3
0x2f3	0x2f4
0x2f4	0x2f5
0x2f5	0x2f8
0x2f9	0x2fc
0x2ff	0x315
0x315	0x316
0x316	0x318
0x318	0x31a
0x31a	0x31b
0x31b	0x31c
0x31c	0x31f
0x321	0x324
0x324	0x327
0x327	0x328
0x328	0x329
0x329	0x32c
0x32c	0x32d
0x32d	0x32e
0x32e	0x331
0x332	0x335
0x338	0x339
0x339	0x34e
0x34e	0x34f
0x34f	0x352
0x354	0x357
0x357	0x35a
0x35a	0x35b
0x35b	0x35c
0x35c	0x35f
0x35f	0x360
0x360	0x361
0x361	0x364
0x365	0x368
0x36b	0x36c
0x36c	0x36f
0x373	0x376
0x376	0x379
0x37b	0x37e
0x37e	0x381
0x381	0x382
0x382	0x383
0x383	0x386
0x386	0x387
0x387	0x388
0x388	0x38b
0x38c	0x38f
0x392	0x3a8
0x3a8	0x3a9
0x3a9	0x3ab
0x3ab	0x3ae
0x3ae	0x3af
0x3af	0x3b1
0x3b1	0x3b4
0x3b4	0x3b5
0x3b5	0x3b7
0x3b7	0x3b9
0x3b9	0x3ba
0x3ba	0x3bb
0x3bb	0x3be
0x3c0	0x3c3
0x3c3	0x3c6
0x3f1	0x3f4
0x3f4	0x3f7
0x3f7	0x3f8
0x3f8	0x3f9
0x3f9	0x3fc
0x3fc	0x3fd
0x3fd	0x3fe
0x3fe	0x401
0x402	0x405
0x408	0x409
0x409	0x41e
0x41e	0x41f
0x41f	0x422
0x424	0x427
0x427	0x42a
0x42c	0x42f
0x42f	0x432
0x434	0x437
0x437	0x43a
0x43c	0x43f
0x43f	0x442
0x444	0x447
0x447	0x44a
0x44a	0x44b
0x44b	0x44c
0x44c	0x44f
0x44f	0x450
0x450	0x451
0x451	0x454
0x455	0x458
0x45b	0x471
0x471	0x472
0x472	0x474
0x474	0x476
0x476	0x477
0x477	0x478
0x478	0x47b
0x47d	0x480
0x480	0x483
0x483	0x484
0x484	0x485
0x485	0x488
0x488	0x489
0x489	0x48a
0x48a	0x48d
0x48e	0x491
0x494	0x4aa
0x4aa	0x4ab
0x4ab	0x4ad
0x4ad	0x4af
0x4af	0x4b0
0x4b0	0x4b1
0x4b1	0x4b4
0x4b6	0x4b9
0x4b9	0x4bc
0x4be	0x4c1
0x4c1	0x4c4
0x4c4	0x4c5
0x4c5	0x4c6
0x4c6	0x4c9
0x4c9	0x4ca
0x4ca	0x4cb
0x4cb	0x4ce
0x4cf	0x4d2
0x4d5	0x4eb
0x4eb	0x4ed
0x4ed	0x4ef
0x4ef	0x4f1
0x4f1	0x4f2
0x4f2	0x4f3
0x4f3	0x4f4
0x4f4	0x4f7
0x4f9	0x4fc
0x4fc	0x4ff
0x4ff	0x500
0x500	0x501
0x501	0x504
0x504	0x505
0x505	0x506
0x506	0x509
0x50a	0x50d
0x510	0x511
0x511	0x526
0x526	0x527
0x527	0x52a
0x5e1	0x5e3
0x5e3	0x5e5
0x5e7	0x5e9
0x5e9	0x5ec
0x5ec	0x5ef
0x5ef	0x5f2
0x5f6	0x5f9
0x604	0x606
0x606	0x608
0x60a	0x60c
0x60c	0x612
0x612	0x615
0x617	0x61b
0x61b	0x61e
0x61e	0x621
0x623	0x627
0x627	0x629
0x629	0x62b
0x62b	0x62d
0x62d	0x62e
0x62e	0x630
0x632	0x635
0x636	0x638
0x638	0x639
0x639	0x63c
0x63c	0x63f
0x640	0x656
0x656	0x657
0x657	0x65b
0x65c	0x65e
0x65e	0x660
0x661	0x664
