0x104a	0x10ab
0x152c	0x15d7
0x17d5	0x17d5
0x1883	0x18e6
0x2082	0x20ac
0x20ae	0x20ae
0x2383	0x23b8
0x23d1	0x2417
0x24eb	0x2540
0x254a	0x2605
0x2646	0x26dd
0x26eb	0x2786
0x2792	0x2872
0x29b9	0x29ca
0x29d1	0x29e2
0x2ae8	0x2afa
0x2c08	0x2c20
0x2c44	0x2c56
0x2c60	0x2c60
0x2d15	0x2d78
0x2d99	0x2dac
0x2dc3	0x2e10
0x2e1b	0x2e90
0x2f9b	0x2f9b
0x2ffc	0x2ffc
0x3005	0x3005
0x309a	0x309a
0x30a8	0x30a8
0x30fe	0x311c
0x3124	0x3139
0x3143	0x3158
0x3166	0x318a
0xe48	0x3826
0xe94	0x384b
0xeda	0x386e
0xef9	0x3893
0xf7a	0x38c3
0xfbd	0x38e6
0x1007	0x390a
0x10bf	0x392d
0x111c	0x3950
0x1161	0x3974
0x11c0	0x3999
0x1205	0x39bd
0x12cc	0x39e4
0x1357	0x3a11
0x14b4	0x3a34
0x14f7	0x3a57
0x152c	0x3a79
0x152c	0x3aa2
0x1673	0x3af3
0x16b8	0x3b17
0x1792	0x3b3a
0x17eb	0x3b5d
0x1967	0x3b80
0x19ba	0x3ba5
0x1a1b	0x3bd2
0x1a62	0x3bf7
0x1aa7	0x3c1b
0x1b04	0x3c40
0x1b65	0x3c63
0x1be2	0x3c8a
0x1c2d	0x3cae
0x1df6	0x3d2e
0x1e3b	0x3d52
0x1f50	0x3dc6
0x1fa2	0x3de9
0x200f	0x3e0e
0x20da	0x3e85
0x228e	0x3eca
0x22a3	0x3eed
0x22ae	0x3f36
0x2325	0x3f84
0x241e	0x3ff6
0x2441	0x401c
0x2614	0x406a
0x28e8	0x40b5
0x291a	0x40dc
0x29e9	0x4103
0x2a18	0x412d
0x2a3c	0x4157
0x2b96	0x4181
0x2bd9	0x41ab
0x2d86	0x41d5
0x2ede	0x41fb
0x3081	0x4221
0x3166	0x4248
0x3192	0x426d
0x31a7	0x428f
0x1707	0x176d0x1707
0x182e	0x176d0x182e
