0x8	0x10
0x27	0xb8
0x32	0x7c
0x78	0x3f95
0xb4	0x3fb9
0xc0	0x10a
0x106	0x3fdd
0x148	0x14f
0x14b	0x88d
0x152	0x159
0x19c	0x1fd
0x1a9	0x1b1
0x1f9	0xd0a
0x200	0x241
0x20d	0x215
0x23d	0xd92
0x284	0x2cf
0x291	0x299
0x2cb	0xdc5
0x2d2	0x2d9
0x2d5	0xf0d
0x31c	0x323
0x326	0x427
0x333	0x33b
0x423	0x13c5
0x42a	0x431
0x42d	0x17a1
0x474	0x4bf
0x481	0x489
0x4bb	0x17c7
0x4d6	0x4dd
0x4d9	0x1c7b
0x4f4	0x4fb
0x4fe	0x53f
0x50b	0x513
0x53b	0x1d17
0x556	0x681
0x563	0x56b
0x5e0	0x5e8
0x5f2	0x5fa
0x614	0x61c
0x635	0x63d
0x647	0x64f
0x669	0x671
0x67d	0x1e09
0x684	0x6c5
0x691	0x699
0x6c1	0x2018
0x6c8	0x709
0x6d5	0x6dd
0x705	0x20d6
0x724	0x72b
0x72e	0x735
0x750	0x77b
0x75d	0x765
0x777	0x2254
0x77e	0x7bf
0x78b	0x793
0x7bb	0x22d8
0x7c2	0x82d
0x7cf	0x7d7
0x829	0x23bf
0x844	0x84b
0x847	0x2a04
0x8df	0x950
0xa10	0xa18
0xa1f	0xa2c
0xace	0xad6
0xadd	0xaea
0xaf8	0xb00
0xbb4	0xbbc
0xbc3	0xbd0
0xbde	0xbe6
0xbf8	0xc69
0xd0b	0xd12
0xd13	0xd84
0xd85	0xd8e
0xdc6	0xdcd
0xdce	0xe3f
0xe5c	0xe63
0xec5	0xecd
0xed4	0xee1
0xeef	0xef7
0x13c6	0x13cd
0x13ce	0x143f
0x1451	0x145e
0x1456	0x145d
0x1460	0x1475
0x1476	0x14ca
0x14e1	0x151a
0x152e	0x163d
0x1594	0x159c
0x15a3	0x15b0
0x15be	0x15c6
0x15f0	0x1630
0x1639	0x1525
0x1675	0x16e6
0x1769	0x1775
0x1779	0x1797
0x181b	0x188c
0x1891	0x1902
0x1903	0x190a
0x1906	0x3df9
0x1924	0x1929
0x1997	0x19ad
0x19a9	0x1992
0x19d0	0x19d8
0x19df	0x19ec
0x1b07	0x1b0f
0x1b16	0x1b23
0x1b31	0x1b39
0x1bac	0x1bb4
0x1bbb	0x1bc8
0x1d1b	0x1d22
0x1d30	0x1e03
0x1dbb	0x1dc3
0x1dca	0x1dd7
0x1de5	0x1ded
0x1e0a	0x1e11
0x1e12	0x1e83
0x1e95	0x1ea2
0x1e9a	0x1ea1
0x1ea4	0x1eb9
0x1eba	0x1f0e
0x1f25	0x1f5e
0x1f5f	0x1fed
0x1ff0	0x200e
0x2019	0x2020
0x2021	0x2092
0x2255	0x225c
0x225d	0x22ce
0x22d9	0x22e0
0x22e1	0x2352
0x2353	0x235b
0x2357	0x36c7
0x2373	0x237a
0x2413	0x2484
0x24b6	0x2527
0x252c	0x259d
0x25a3	0x25aa
0x263f	0x2647
0x264e	0x265b
0x2669	0x2671
0x2687	0x26ab
0x268b	0x269d
0x26b2	0x2743
0x2722	0x272a
0x2731	0x273e
0x27b4	0x27bc
0x27c3	0x27d0
0x27d5	0x27ff
0x2876	0x287e
0x2885	0x2892
0x28a0	0x28a8
0x28c1	0x2912
0x28c5	0x2911
0x2aeb	0x2b5c0x2a5b
0x2db6	0x2dbb
0x2eb5	0x2ebd
0x2ec4	0x2ed1
0x2edf	0x2ee7
0x2f96	0x2f9e
0x2fa5	0x2fb2
0x2fc0	0x2fc8
0x2fdc	0x2fee
0x2ff7	0x30c20x2ff6
0x3491	0x34de
