0x273	0x438
0x46a	0x509
0x7a7	0x846
0xb23	0xb23
0x1050	0x1050
0x1067	0x114c
0x114f	0x124f
0x1252	0x1352
0x1355	0x14e3
0x14e6	0x14e6
0x1643	0x16ad
0x16b3	0x16f5
0x175e	0x176d
0x1773	0x1782
0x1788	0x1797
0x179d	0x17bd
0x17c6	0x180b
0x1815	0x1847
0x1851	0x1871
0x187a	0x189a
0x18a3	0x18ac
0x18b2	0x18bb
0x1c19	0x1c22
0x1c28	0x1c3d
0x1c43	0x1c58
0x1c5e	0x1c8d
0x1c95	0x1cb7
0x1cbe	0x1ce0
0x1ce7	0x1cfc
0x1d02	0x1d17
0x1d1d	0x1d32
0x1d38	0x1d52
0x1d5a	0x1d73
0x1d7a	0x1d93
0x1d9a	0x1db3
0x1dba	0x1dd3
0x1dda	0x1df3
0x1dfa	0x1e13
0x1e1a	0x1e33
0x1e3a	0x1e53
0x1e5a	0x1e73
0x1e7a	0x1e93
0x1e9a	0x1eaf
0x1eb5	0x1ed7
0x1ee9	0x1ee9
0x1efa	0x1f05
0x1f0c	0x1f0c
0x1f18	0x1f18
0x1f38	0x1f38
0x1f42	0x1f4d
0x1f54	0x1f5f
0x1f66	0x1f71
0x1f78	0x1f83
0x1f8a	0x1f95
0x1f9c	0x1fa7
0x1fae	0x1fb9
0x1fc0	0x1fed
0x2004	0x2018
0x201b	0x202f
0x2032	0x2046
