0x660	0x66a
0x66f	0x66f
0x6bd	0x7f4
0x8c9	0xb31
0xb3d	0xb3d
0xbdc	0xd16
0xe32	0xe58
0xee0	0xee0
0xf31	0xf31
0x1037	0x1037
0x108e	0x108e
0x118b	0x118b
0x136c	0x137b
0x1448	0x1448
0x16a5	0x16a5
0x17ef	0x187f
0x1955	0x1962
0x19e8	0x1a26
0x1b16	0x1d8f
0x1fbb	0x2008
0x2171	0x2383
0x238b	0x23df
0x23e6	0x24b8
0x2819	0x2937
0x2940	0x2940
0x2964	0x2964
0x2988	0x2988
0x29ac	0x29ac
0xd23	0x2ff0
0x1163	0x3015
0x11d9	0x3037
0x1496	0x3059
0x193f	0x307b
0x2012	0x309d
0x2012	0x30c2
0x800	0x8850x800
0x1275	0x8850x1275
0xd3f	0xdc40xd3f
0xe5c	0xdc40xe5c
0x1ee9	0x1f6d0x1ee9
0x24c3	0x1f6d0x24c3
0x2655	0x26d90x2655
0x2743	0x26d90x2743
