0x362	0x16b0	0x36a	0x36a
0x3ba	0x1713	0x3c2	0x3c2
0x437	0x44d	0x56b	0x56b
0x56d	0x583	0x599	0x599
0x5ad	0x5c3	0x599	0x599
0x5d3	0x18ca	0x5db	0x5db
0x5ed	0x603	0x56b	0x56b
0x710	0x726	0x599	0x599
0x746	0x75c	0x5db	0x5db
0x763	0x779	0x599	0x599
0x7d8	0x7ee	0x56b	0x56b
0x804	0x1c99	0x80c	0x80c
0x822	0x838	0x56b	0x56b
0x84e	0x864	0x56b	0x56b
0x874	0x88a	0x56b	0x56b
0x89a	0x8b0	0x599	0x599
0x8c6	0x1e1b	0x5db	0x5db
0x8ce	0x8e4	0x56b	0x56b
0x8f4	0x90a	0x56b	0x56b
0xa3d	0xa53	0x56b	0x56b
0xa63	0xa79	0x5db	0x5db
0xa89	0x1f90	0x56b	0x56b
0xa91	0x203c	0xa99	0xa99
0xab5	0xacb	0x5db	0x5db
0xb59	0xb70	0xcb6	0xcb6
0xd35	0x231e	0xa99	0xa99
0xd3d	0xd53	0xa99	0xa99
0xd60	0xd76	0x599	0x599
0xd8c	0xda2	0x56b	0x56b
0xdb2	0x24bc	0x3c2	0x3c2
0xdba	0xdd0	0x56b	0x56b
0xde8	0xdfe	0x56b	0x56b
0xea1	0xeb7	0x56b	0x56b
0xebe	0x2736	0x5db	0x5db
0xec6	0xedc	0x599	0x599
0xef2	0x2814	0x3c2	0x3c2
0xefa	0xf10	0x56b	0x56b
0x1043	0x1059	0x5db	0x5db
0x1060	0x290e	0x5db	0x5db
0x1068	0x107e	0x56b	0x56b
0x1198	0x2a54	0x5db	0x5db
0x11a0	0x11b6	0x56b	0x56b
0x11cc	0x11e2	0x599	0x599
0x11fa	0x2b71	0xa99	0xa99
0x1202	0x1218	0x56b	0x56b
0x1228	0x123e	0x599	0x599
0x1366	0x137c	0x5db	0x5db
0x1394	0x13aa	0x56b	0x56b
0x13ba	0x13d0	0x56b	0x56b
0x146b	0x2e76	0xa99	0xa99
0x1473	0x1489	0x56b	0x56b
0x1499	0x14af	0x56b	0x56b
0x14bf	0x14d5	0x56b	0x56b
0x15fd	0x312c	0xa99	0xa99
0x1605	0x161b	0x56b	0x56b
0x17b1	0x315d	0x17b9	0x17b9
0x182d	0x316e	0x1837	0x1837
0x1837	0x321f	0x1842	0x1842
0x1842	0x251d	0x184c	0x184c
0x184c	0x2d56	0x1855	0x1855
0x1855	0x1c8b	0x1860	0x1860
0x1879	0x32d6	0x1884	0x1884
0x1884	0x32e5	0x1891	0x1891
0x189d	0x2352	0x1897	0x1897
0x18d0	0x32d6	0x18db	0x18e1
0x18d0	0x32d6	0x18e1	0x18e1
0x191c	0x33d1	0x1991	0x1991
0x1ac5	0x32d6	0x1acf	0x1acf
0x1acf	0x3617	0x1afd	0x1afd
0x1afd	0x385f	0x1b29	0x1b29
0x1b29	0x3a85	0x1b7e	0x1b83
0x1b29	0x3a85	0x1b83	0x1b83
0x1b83	0x3b1c	0x1bb1	0x1bb1
0x1bd1	0x2914	0x1c23	0x1c23
0x1c2d	0x32d6	0x1c4b	0x1c50
0x1c2d	0x32d6	0x1c50	0x1c50
0x1c8b	0x3dbc	0x1c95	0x1c95
0x1c9e	0x32d6	0x1ca6	0x1ca6
0x1cf5	0x3e2b	0x1c95	0x1c95
0x1cff	0x32d6	0x1d13	0x1d13
0x1dc2	0x1c2d	0x1dec	0x1dec
0x1def	0x2c5f	0x1c23	0x1c23
0x1e20	0x32d6	0x1e28	0x1e28
0x1e28	0x231e	0x1e39	0x1e39
0x1ee9	0x32d6	0x1ef4	0x1efa
0x1ee9	0x32d6	0x1efa	0x1efa
0x1f35	0x3e9a	0x1f44	0x1f44
0x1f4b	0x2a77	0x1dec	0x1dec
0x1f90	0x32d6	0x1f98	0x1f98
0x1f98	0x231e	0x1fa9	0x1fa9
0x204b	0x203c	0x2055	0x2055
0x20a4	0x3f71	0x1897	0x1897
0x2178	0x203c	0x2195	0x2195
0x2204	0x3f77	0x229c	0x22a8
0x2204	0x3f77	0x22a8	0x22a8
0x22b8	0x4048	0x22fa	0x22fa
0x2306	0x404d	0x22fa	0x22fa
0x232d	0x4065	0x234b	0x234b
0x2352	0x4071	0x234b	0x234b
0x2370	0x32d6	0x2382	0x2382
0x23ea	0x32d6	0x23f5	0x23f5
0x242b	0x32d6	0x2439	0x2439
0x2472	0x32d6	0x247a	0x247a
0x252e	0x315d	0x2536	0x2536
0x25aa	0x4086	0x25b2	0x25b2
0x25b2	0x4123	0x25ba	0x25ba
0x26aa	0x32d6	0x26a5	0x26a5
0x26aa	0x32d6	0x26b5	0x26a5
0x26cf	0x32d6	0x26d7	0x26d7
0x26d7	0x231e	0x26e8	0x26e8
0x2782	0x32d6	0x278c	0x278c
0x278c	0x3617	0x27ba	0x27ba
0x27ba	0x385f	0x27e6	0x27e6
0x27e6	0x3b1c	0x1891	0x1891
0x2833	0x32d6	0x2847	0x2847
0x28a2	0x3e9a	0x28b1	0x28b1
0x28f7	0x41c0	0x1897	0x1897
0x2914	0x32d6	0x291f	0x2936
0x2914	0x32d6	0x2936	0x2936
0x2936	0x32d6	0x293e	0x293e
0x2a77	0x32d6	0x1c4b	0x2a95
0x2a77	0x32d6	0x2a95	0x2a95
0x2b80	0x32d6	0x2b88	0x2b88
0x2b88	0x231e	0x2b99	0x2b99
0x2ca9	0x32d6	0x1c4b	0x2cd5
0x2ca9	0x32d6	0x2cd5	0x2cd5
0x2d1f	0x41cb	0x1bb1	0x1bb1
0x2d67	0x315d	0x2d6f	0x2d6f
0x2e13	0x203c	0x2e1b	0x2e1b
0x2e6a	0x440f	0x1873	0x1873
0x2e85	0x32d6	0x2e8d	0x2e8d
0x2e8d	0x231e	0x2e9e	0x2e9e
0x2f88	0x32d6	0x2f90	0x2f90
0x3002	0x32d6	0x300f	0x300f
0x304c	0x32d6	0x3058	0x3058
0x308a	0x32d6	0x3092	0x3092
0x30d4	0x32d6	0x30df	0x30e5
0x30d4	0x32d6	0x30e5	0x30e5
0x3120	0x33d1	0x1873	0x1873
0x313b	0x32d6	0x1c95	0x1c95
0x313b	0x32d6	0x3146	0x1c95
0x315d	0x4500	0x3168	0x3168
0x317f	0x315d	0x3187	0x3187
0x31fb	0x4506	0x3203	0x3203
0x3203	0x4506	0x320b	0x320b
0x3230	0x315d	0x3238	0x3238
0x32ac	0x4506	0x32b4	0x32b4
0x32b4	0x45a6	0x32bf	0x32bf
0x32d6	0x480c	0x32e0	0x32e0
0x3416	0x32d6	0x3420	0x3420
0x3420	0x3617	0x3431	0x3431
0x3431	0x1873	0x343e	0x343e
0x343e	0x3a85	0x3481	0x3481
0x3481	0x4844	0x34ad	0x34ad
0x385f	0x1873	0x386b	0x386b
0x386b	0x3a85	0x38ae	0x38ae
0x38ae	0x48a1	0x38e3	0x38e3
0x3d65	0x4500	0x3d76	0x3d76
0x3dbc	0x48fb	0x3dda	0x3dda
0x3de0	0x32d6	0x3de7	0x3de7
0x3e2b	0x4910	0x3e49	0x3e49
0x3e4f	0x32d6	0x3e56	0x3e56
0x3f3a	0x32d6	0x3f44	0x3f44
0x3f44	0x3617	0x3f54	0x3f54
0x3f54	0x385f	0x3f62	0x3f62
0x3f62	0x3b1c	0x3856	0x3856
0x4020	0x4925	0x403e	0x403e
0x4065	0x4a9f	0x234b	0x234b
0x4071	0x4b03	0x234b	0x234b
0x4097	0x315d	0x409f	0x409f
0x4113	0x4506	0x411b	0x411b
0x411b	0x4b1b	0x320b	0x320b
0x4134	0x315d	0x413c	0x413c
0x41b0	0x4506	0x41b8	0x41b8
0x41b8	0x4be2	0x320b	0x320b
0x41c0	0x4cdb	0x1897	0x1897
0x4226	0x32d6	0x4230	0x4230
0x4230	0x1873	0x423f	0x423f
0x423f	0x48a1	0x4252	0x4252
0x4252	0x48a1	0x427e	0x427e
0x427e	0x3b1c	0x42ab	0x42ab
0x442a	0x4844	0x4467	0x446e
0x442a	0x4844	0x446e	0x446e
0x446e	0x4844	0x4492	0x44aa
0x446e	0x4844	0x449e	0x44aa
0x446e	0x4844	0x44aa	0x44aa
0x44b3	0x3e9a	0x44f4	0x44f4
0x4517	0x315d	0x451f	0x451f
0x45b7	0x315d	0x45bf	0x45bf
0x4633	0x4f0a	0x4646	0x4646
0x4646	0x4f0a	0x465a	0x465a
0x465a	0x4f88	0x466e	0x466e
0x480c	0x203c	0x4816	0x4816
0x4835	0x4dad	0x483d	0x483d
0x48fb	0x4dfa	0x234b	0x234b
0x4910	0x4e44	0x234b	0x234b
0x4b2c	0x315d	0x4b34	0x4b34
0x4bf3	0x315d	0x4bfb	0x4bfb
0x4c6f	0x32d6	0x4c79	0x4c79
0x4dfa	0x4b03	0x4e06	0x4e06
0x4f78	0x4fe9	0x4f84	0x4f84
0x4fdd	0x5003	0x4f84	0x4f84
