0x19d	0x1b4	0x1ed6	0x1ed6
0x1d7	0x1ed	0x1f11	0x1f11
0x21b	0x232	0x242	0x242
0x267	0x8e4	0x1f32	0x1f32
0x284	0x29a	0x1f65	0x1f65
0x2bc	0xc46	0x1f86	0x1f86
0x2d1	0xc55	0x1fc1	0x1fc1
0x2e6	0xc64	0x1ffc	0x1ffc
0x2ef	0x305	0x2037	0x2037
0x327	0x33e	0x34e	0x34e
0x383	0xffe	0x2058	0x2058
0x398	0x3af	0x2093	0x2093
0x3cb	0x10ac	0x3d4	0x3d4
0x3f2	0x409	0x20b4	0x20b4
0x437	0x44e	0x20d5	0x20d5
0x46a	0x16bc	0x20f6	0x20f6
0x47f	0x496	0x2131	0x2131
0x4b2	0x170b	0x2152	0x2152
0x4c7	0x4de	0x218d	0x218d
0x4fa	0x1734	0x21c0	0x21c0
0x50f	0x1743	0x21fb	0x21fb
0x524	0x53b	0x2236	0x2236
0x56f	0x586	0x2257	0x2257
0x5a2	0x1868	0x2278	0x2278
0x5b7	0x5ce	0x22b3	0x22b3
0x5de	0x5f4	0x22e6	0x22e6
0x959	0x1950	0x64	0x984
0x959	0x1950	0x984	0x984
0x959	0x1950	0x2307	0x984
0x959	0x1950	0x232c	0x984
0x9c5	0x1950	0x64	0x9e2
0x9c5	0x1950	0x9e2	0x9e2
0x9c5	0x1950	0x2351	0x9e2
0xa23	0x1950	0x64	0xa52
0xa23	0x1950	0xa52	0xa52
0xa23	0x1950	0x2376	0xa52
0xa23	0x1950	0x239c	0xa52
0xa91	0x1950	0x64	0xab9
0xa91	0x1950	0xab2	0xab9
0xa91	0x1950	0xab9	0xab9
0xa91	0x1950	0x23c1	0xab9
0xcdf	0x1950	0x64	0xcff
0xcdf	0x1950	0xcff	0xcff
0xcdf	0x1950	0x23e6	0xcff
0xcdf	0x1950	0x240b	0xcff
0xd40	0x1950	0x64	0xd5d
0xd40	0x1950	0xd5d	0xd5d
0xd40	0x1950	0x2430	0xd5d
0xd9e	0x1950	0x64	0xdbe
0xd9e	0x1950	0xdbe	0xdbe
0xd9e	0x1950	0x2455	0xdbe
0xdff	0x1950	0x64	0xe27
0xdff	0x1950	0xe27	0xe27
0xdff	0x1950	0x247a	0xe27
0xdff	0x1950	0x24a0	0xe27
0x10a0	0x1a36	0x24c5	0x24c5
0x1288	0x1b23	0x12b6	0x12b6
0x12eb	0x1b23	0x1322	0x1322
0x13fd	0x1b23	0x143b	0x143b
0x1472	0x1b23	0x14c8	0x14c8
0x1525	0x1b23	0x157b	0x157b
0x164e	0x1b7d	0x16a8	0x16a8
0x1849	0x1c39	0x2553	0x2553
0x19b2	0x1c48	0x19a9	0x19a9
0x19f4	0x1cea	0x19a9	0x19a9
