0x0	__function_selector__
0x3a9	creditAgency()
0x3c7	join(uint256)
0x3dc	name()
0x3f1	approve(address,uint256)
0x411	loansValue()
0x426	proFormaLiquidRatio(uint256)
0x439	totalSupply()
0x441	setJoiningFee(uint256)
0x454	setBeneficiary(address)
0x467	transferFrom(address,address,uint256)
0x47a	reclaimDeficit(address)
0x48d	singleBorrowerInitialize(address,address,address,address,string,string)
0x4a0	liquidate(address)
0x4b3	decimals()
0x4c8	repay(uint256)
0x4db	integrateAtPoint(uint256)
0x4ee	beneficiary()
0x4f6	isInitialized()
0x4fe	increaseAllowance(address,uint256)
0x511	liquidExit(uint256)
0x524	pauseStatus()
0x52c	switchStrategy(address)
0x53f	pull(uint256)
0x552	claimOwnership()
0x55a	currencyBalance()
0x562	TOLERATED_STRATEGY_LOSS()
0x577	creditValue()
0x57f	safu()
0x587	joiningFee()
0x58f	balanceOf(address)
0x5a2	setOracle(address)
0x5b5	setSafuAddress(address)
0x5c8	oracle()
0x5d0	strategyValue()
0x5d8	owner()
0x5e0	setCreditAgency(address)
0x5f3	symbol()
0x5fb	deficitValue()
0x603	decreaseAllowance(address,uint256)
0x616	strategy()
0x61e	transfer(address,uint256)
0x631	flush(uint256)
0x644	poolValue()
0x64c	TOLERATED_SLIPPAGE()
0x654	lender()
0x65c	claimableFees()
0x664	setPauseStatus(bool)
0x677	borrow(uint256)
0x68a	collectFees()
0x692	liquidExitPenalty(uint256)
0x6a5	allowance(address,address)
0x6b8	pendingOwner()
0x6c0	liquidRatio()
0x6c8	utilization()
0x6d0	averageExitPenalty(uint256,uint256)
0x6e3	liquidValue()
0x6eb	transferOwnership(address)
0x6fe	initialize(address,address,address,address)
0x711	token()
0x719	VERSION()
0x84a	0x84a
0x8ff	0x8ff
0x91d	0x91d
0x9eb	0x9eb
0xa3e	0xa3e
0xe68	0xe68
0x113d	0x113d
0x115e	0x115e
0x1295	0x1295
0x12f2	0x12f2
0x19ae	0x19ae
0x1a58	0x1a58
0x1ad1	0x1ad1
0x1c35	0x1c35
0x1d7c	0x1d7c
0x1dfb	0x1dfb
0x1e5f	0x1e5f
0x1edc	0x1edc
0x2148	0x2148
0x2396	0x2396
0x246a	0x246a
0x249e	0x249e
0x24cd	0x24cd
0x2562	0x2562
0x25e3	0x25e3
0x281b	0x281b
0x2855	0x2855
0x2897	0x2897
0x28d9	0x28d9
0x291c	0x291c
0x2941	0x2941
0x29ea	0x29ea
0x29ee	0x29ee
0x2aa2	0x2aa2
0x2bc3	0x2bc3
0x2bef	0x2bef
0x2cd0	0x2cd0
0x2cd6	0x2cd6
0x2e31	0x2e31
0x2f75	0x2f75
0x3158	0x3158
0x322a	0x322a
0x3249	0x3249
0x335a	0x335a
0x33e9	0x33e9
0x34eb	0x34eb
0x3502	0x3502
0x35cc	0x35cc
0x364a	0x364a
0x3664	0x3664
0x36b7	0x36b7
0x36d3	0x36d3
0x374b	0x374b
0x3776	0x3776
0x3792	0x3792
0x37ae	0x37ae
0x3809	0x3809
0x38b3	0x38b3
0x38cf	0x38cf
0x3945	0x3945
0x395d	0x395d
0x3996	0x3996
0x3a01	0x3a01
0x3a15	0x3a15
0x3a2e	0x3a2e
0x3a6c	0x3a6c
0x3a77	0x3a77
0x3efe	0x3efe
0x4072	0x4072
0x412c	0x412c
0x4161	0x4161
0x46a8	0x46a8
0x46cd	0x46cd
0x46f4	0x46f4
0x4736	0x4736
0x4762	0x4762
0x4777	0x4777
0x486f	()
0x486f	fallback()
0x5fea	0x5fea
0x625e	0x625e
0x64a8	0x64a8
