0x0	__function_selector__
0x352	changeOperator(address)
0x385	blockCount()
0x3b3	isRedeemArray(bytes32[])
0x47e	rewardNullifierHashes(bytes32)
0x4bc	nullifierHashes(bytes32)
0x4e6	blnd()
0x517	rewardCurrentBlocknum()
0x52c	hashLeftRight(bytes32,bytes32)
0x56e	rewardCurrentRoot()
0x583	setBlockCount(uint32)
0x5b3	rewardNextBlocknum()
0x5c8	FIELD_SIZE()
0x5dd	updateRewardVerifier(address)
0x610	rewardCounter()
0x625	levels()
0x63a	operator()
0x64f	enableRelayerWhitelisting()
0x664	removeRelayer(address)
0x697	isKnownRoot(bytes32)
0x6c1	firstStageDepositors()
0x6d6	updateWithdrawVerifier(address)
0x709	r_denomination()
0x71e	relayerWhitelistingEnabled()
0x733	isRedeem(bytes32)
0x75d	rewardNextRoot()
0x772	commitments(bytes32)
0x79c	disableRelayerWhitelisting()
0x7b1	withdrawVerifier()
0x7c6	currentRootIndex()
0x7db	isSpentArray(bytes32[])
0x856	aToken()
0x86b	depositors()
0x880	relayerWhitelist(address)
0x8b3	deposit(bytes32)
0x8d0	withdraw(bytes,bytes32,bytes32,bytes32,address,address,uint256,uint256)
0x970	secondStageDepositors()
0x985	getLastRoot()
0x99a	firstStageReward()
0x9af	lendingPoolAddressesProvider()
0x9c4	roots(uint256)
0x9ee	reward(bytes,bytes32,bytes32,address,address,uint256,uint256)
0xa87	isRewardRoot(bytes32)
0xab1	reserve()
0xac6	ROOT_HISTORY_SIZE()
0xadb	secondStageReward()
0xaf0	addRelayer(address)
0xb23	d_denomination()
0xb38	isSpent(bytes32)
0xb62	zeros(uint256)
0xb8c	ZERO_VALUE()
0xba1	filledSubtrees(uint256)
0xbcb	initialize(address,address,uint256,uint32,uint32,address,address,address,address,uint256,uint256,uint256,uint256,uint256)
0xc67	rewardVerifier()
0xc7c	nextIndex()
0xc91	thirdStageReward()
0xdf1	0xdf1
0x1281	0x1281
0x1f90	0x1f90
0x28c0	0x28c0
0x29d8	0x29d8
0x2b9e	0x2b9e
0x2be7	0x2be7
0x2c29	0x2c29
0x2c80	0x2c80
0x2c86	0x2c86
0x3046	0x3046
0x31fe	0x31fe
0x35c6	()
0x35c6	fallback()
