0x0	0xd
0x3f	0x4a
0x60	0x6b
0xd	0x1e
0xd5f	0xd6c
0xd7f	0xd8b
0x14bc	0x14c9
0x14dc	0x14e8
0x16cd	0x16ed
0x1b53	0x1b73
0x1e1f	0x1e70
0x1e8a	0x1edb
0x2303	0x230b
0x23f7	0x246a
0x281b	0x2842
0x12ea0x697	0x12ef0x697
0x12ea0x1281	0x12ef0x1281
0x1c6	0x1d2
0xf7	0x103
0x95	0xa1
0x6f	0x7b
0xd1	0xdd
0x164	0x170
0x13e	0x14a
0x1a0	0x1ac
0x2a0	0x2ac
0x23e	0x24a
0x218	0x224
0x27a	0x286
0x30d	0x319
0x2e7	0x2f3
0x35e	0x371
0xca6	0xcb9
0x3bf	0x3d2
0x3d6	0x3ec
0x3f0	0x3fe
0x402	0x41f
0xd24	0xd41
0x48a	0x49d
0x4c8	0x4db
0x538	0x54b
0xdf1	0xe270xdf1
0x58f	0x5a2
0xf1b	0xf2e
0x5e9	0x5fc
0x100d	0x1020
0x10ac	0x10bf
0x670	0x683
0x116d	0x1180
0x6a3	0x6b6
0x1281	0x12890x1281
0x6e2	0x6f5
0x12fa	0x130d
0x73f	0x752
0x77e	0x791
0x13ab	0x13be
0x7e7	0x7fa
0x7fe	0x814
0x818	0x826
0x82a	0x847
0x1481	0x149e
0x88c	0x89f
0x152c	0x153f
0x8e7	0x8fd
0x901	0x90f
0x913	0x930
0x1658	0x166b
0x1a95	0x1aad
0x9d0	0x9e3
0x1aca	0x1ad6
0xa04	0xa1a
0xa1e	0xa2c
0xa30	0xa4d
0x1ade	0x1af1
0xa93	0xaa6
0x1f90	0x1f980x1f90
0xafc	0xb0f
0x1fd3	0x1fe6
0xb44	0xb57
0xb6e	0xb81
0x210a	0x2116
0xbad	0xbc0
0x214c	0x2158
0xbd7	0xbeb
0x124	0x12f
0xd50	0xd56
0xd79	0xd7f
0xd8c	0xd9d
0xd56	0xd5f
0xf64	0xf77
0x10f5	0x1108
0x11b6	0x11c9
0x13f4	0x1407
0x14ad	0x14b3
0x14d6	0x14dc
0x14e9	0x14fa
0x14b3	0x14bc
0x1579	0x15a4
0x2255	0x2282
0x2488	0x2492
0x16a5	0x16cd
0x1735	0x1740
0x178c	0x17a4
0x17da	0x17f2
0x1831	0x1836
0x1882	0x18f6
0x190e	0x195c
0x18f6	0x18ff
0x1960	0x196b
0x1974	0x1986
0x198a	0x1991
0x25bb	0x25c2
0x7b	0x86
0x1b2b	0x1b53
0x1bbb	0x1bc6
0x1c12	0x1c2a
0x29	0x34
0x1c69	0x1c6e
0x1cba	0x1d27
0x1d3f	0x1d8d
0x1d27	0x1d30
0x1d91	0x1d9c
0x1da5	0x1db7
0x1dbb	0x1dc2
0x1e05	0x1e1f
0x1e70	0x1e8a
0x201c	0x202f
0x22b8	0x22e8
0x2396	0x23d7
0x2352	0x2364
0x2320	0x2340
0x2365	0x2376
0x22e8	0x2303
0x23d8	0x23f7
0x24c8	0x2508
0x250c	0x2517
0x2520	0x2532
0x2536	0x2592
0x2596	0x25a1
0x25f8	0x25ff
0x2635	0x2640
0x34	0x3f
0x2676	0x26c2
0x26c6	0x26d1
0x26da	0x26ec
0x2706	0x2752
0x2756	0x2761
0x277f	0x27ae
0x27cf	0x27d4
0x27d4	0x27de
0x2814	0x281b
0x2863	0x2868
0x2868	0x2874
0x352	0x35a
0x385	0x38d
0x3b3	0x3bb
0x47e	0x486
0x4bc	0x4c4
0x4e6	0x4ee
0x517	0x51f
0x52c	0x534
0x56e	0x576
0x583	0x58b
0x5b3	0x5bb
0x5c8	0x5d0
0x5dd	0x5e5
0x610	0x618
0x625	0x62d
0x63a	0x642
0x64f	0x657
0x664	0x66c
0x697	0x69f
0x6c1	0x6c9
0x6d6	0x6de
0x709	0x711
0x71e	0x726
0x733	0x73b
0x75d	0x765
0x772	0x77a
0x79c	0x7a4
0x7b1	0x7b9
0x7c6	0x7ce
0x7db	0x7e3
0x856	0x85e
0x86b	0x873
0x880	0x888
0x8b3	0x8c5
0x8d0	0x8e3
0x970	0x978
0x985	0x98d
0x99a	0x9a2
0x9af	0x9b7
0x9c4	0x9cc
0x9ee	0xa00
0xa87	0xa8f
0xab1	0xab9
0xac6	0xace
0xadb	0xae3
0xaf0	0xaf8
0xb23	0xb2b
0xb38	0xb40
0xb62	0xb6a
0xb8c	0xb94
0xba1	0xba9
0xbcb	0xbd3
0xc67	0xc6f
0xc7c	0xc84
0xc91	0xc99
0x1e	0x29
0x4a	0x55
0x55	0x60
0x86	0x91
0xa1	0xac
0xac	0xb7
0xb7	0xc2
0xc2	0xcd
0xdd	0xe8
0xe8	0xf3
0x103	0x10e
0x10e	0x119
0x119	0x124
0x12f	0x13a
0x14a	0x155
0x155	0x160
0x170	0x17b
0x17b	0x186
0x186	0x191
0x191	0x19c
0x1ac	0x1b7
0x1b7	0x1c2
0x1d2	0x1dd
0x1dd	0x1e8
0x1e8	0x1f3
0x1f3	0x1fe
0x1fe	0x209
0x209	0x214
0x224	0x22f
0x22f	0x23a
0x24a	0x255
0x255	0x260
0x260	0x26b
0x26b	0x276
0x286	0x291
0x291	0x29c
0x2ac	0x2b7
0x2b7	0x2c2
0x2c2	0x2cd
0x2cd	0x2d8
0x2d8	0x2e3
0x2f3	0x2fe
0x2fe	0x309
0x319	0x324
0x324	0x32f
0x32f	0x33a
0x33a	0x345
0x345	0x350
0xd41	0xd50
0x149e	0x14ad
0x230b	0x231f
0x1f9f0xa87	0x1faa0xa87
0x1f9f0x1f90	0x1faa0x1f90
0x1f900xa87	0x1f980xa87
0x12cf0x697	0x12ea0x697
0x12cf0x1281	0x12ea0x1281
0x12c00x697	0x12cc0x697
0x12c00x1281	0x12cc0x1281
0x12ad0x697	0x12b70x697
0x12ad0x1281	0x12b70x1281
0x129a0x697	0x12ac0x697
0x129a0x1281	0x12ac0x1281
0x12810x697	0x12890x697
0xef40x52c	0xf060x52c
0xef40xdf1	0xf060xdf1
0xee00x52c	0xeeb0x52c
0xee00xdf1	0xeeb0xdf1
0xebd0x52c	0xedc0x52c
0xebd0xdf1	0xedc0xdf1
