0x1a2	0x1e4f53a
0x1c8	0xe6a39db
0x21c	0x1dcea427
0x24d	0x21d800ec
0x265	0x2bd0bb05
0x28f	0x392e53cd
0x2a4	0x3dd95d1b
0x2bc	0x3e6968b6
0x2d1	0x3f0a9f65
0x2e6	0x3f7658fd
0x312	0x437764df
0x35c	0x43b37dd3
0x371	0x4fb3fef7
0x389	0x67eeba0c
0x39e	0x69ffa08a
0x3c5	0x879ce676
0x3dd	0x8aa1949a
0x3f2	0x8d068043
0x407	0x8da5cb5b
0x41c	0x95e54a17
0x431	0x99439089
0x446	0x9a454b99
0x45b	0x9cb7595a
0x49c	0xa2a6ca27
0x4b4	0xacf5c689
0x4cc	0xb20d30a9
0x4e4	0xbf1fe420
0x4fc	0xc6f6f216
0x514	0xdae5f0fd
0x529	0xdf25f3f0
0x53e	0xea9f4968
0x556	0xf20151e1
0x56e	0xf2fde38b
0x58f	0xf968adbe
0x5a4	0xfe173b97
0x296d	0x00000000
