0x60	0x4ea0
0x9	0x1e7
0x1a	0x102
0x25	0x95
0x30	0x64
0x91	0x4ec4
0x9d	0xd1
0xcd	0x4ee8
0xfe	0x4f0c
0x10a	0x17a
0x115	0x149
0x145	0x4f30
0x176	0x4f54
0x182	0x1b6
0x1b2	0x4f78
0x1e3	0x4f9c
0x1e9	0x4fc0
0x230	0x235
0x240	0x248
0x24a	0x251
0x24d	0xb85
0x26b	0x273
0x275	0x27c
0x278	0xb92
0x2ac	0x2b4
0x2b6	0x2e1
0x2c3	0x2cb
0x2dd	0xbb8
0x375	0x37d
0x37f	0x386
0x382	0xc76
0x3a0	0x3a8
0x3aa	0x3b1
0x3ad	0xc7c
0x3cb	0x3d3
0x3d5	0x420
0x3e2	0x3ea
0x41c	0xc82
0x43a	0x442
0x444	0x44b
0x447	0xe07
0x465	0x46d
0x46f	0x4a4
0x47c	0x484
0x4a0	0xe0d
0x4aa	0x4b2
0x4b4	0x4bb
0x4b7	0x1311
0x4d5	0x4dd
0x4df	0x4e6
0x4e2	0x1317
0x516	0x51e
0x520	0x54b
0x52d	0x535
0x547	0x133d0x512
0x551	0x559
0x55b	0x5dc
0x568	0x570
0x5d8	0x1493
0x5e2	0x5ea
0x5ec	0x5f3
0x5ef	0x18a4
0x623	0x62b
0x62d	0x634
0x63a	0x642
0x644	0x64b
0x647	0x18f7
0x651	0x659
0x65b	0x6fa
0x668	0x670
0x6f6	0x1a82
0x700	0x708
0x70a	0x74b
0x717	0x71f
0x747	0x1ccf
0x751	0x759
0x75b	0x762
0x75e	0x1f52
0x77c	0x784
0x786	0x7c7
0x793	0x79b
0x7c3	0x1f57
0x7cd	0x7d5
0x7d7	0x7de
0x80e	0x816
0x818	0x84d
0x825	0x82d
0x849	0x20880x80a
0x867	0x86f
0x871	0x8bc
0x87e	0x886
0x8b8	0x213a
0x8e4	0x8ec
0x8ee	0x8f5
0x8f1	0x2171
0x925	0x92d
0x92f	0x936
0x932	0x2189
0x966	0x96e
0x970	0x977
0x973	0x21a1
0x9a7	0x9af
0x9b1	0x9b8
0x9b4	0x21c7
0x9d2	0x9da
0x9dc	0x9e3
0x9df	0x21cd
0xa10	0xa45
0xa1d	0xa25
0xa41	0x21f3
0xa4b	0xa53
0xa55	0xa5c
0xa58	0x265b
0xa8c	0xa94
0xa96	0xad7
0xaa3	0xaab
0xad3	0x2673
0xadd	0xae5
0xae7	0xb32
0xaf4	0xafc
0xb2e	0x27b7
0xb38	0xb40
0xb42	0xb83
0xb4f	0xb57
0xb7f	0x29dd
0xbc0	0xbc8
0xc8d	0xc92
0xd12	0xd1c
0xd1e	0xdb7
0xd24	0xd31
0xd36	0xd74
0xd3c	0xd66
0xd44	0xd58
0xd77	0xdb2
0xd7a	0xda3
0xd7e	0xd95
0xdb8	0xdfb
0xdc0	0xded
0xdc9	0xddf
0xe17	0xe1c
0xe89	0xefa
0xefb	0xf03
0xf06	0xf4d
0xf0e	0xf3f
0xf17	0xf31
0xf55	0xf63
0xf59	0xf62
0xf6a	0x1278
0xf6e	0xf84
0xf8d	0xfa3
0xfb5	0xfc2
0xfc4	0x10d0
0xfc8	0x1006
0xfcb	0xfe1
0xfe2	0xff8
0x100b	0x1082
0x1089	0x1090
0x1091	0x10a7
0x10b0	0x10c6
0x10db	0x11a9
0x10df	0x1105
0x10e4	0x10f7
0x110f	0x1186
0x1189	0x119f
0x1212	0x1226
0x1216	0x1221
0x1222	0x1276
0x1227	0x1275
0x1279	0x12aa
0x1282	0x129c
0x1494	0x149b
0x14cb	0x1521
0x1522	0x1593
0x1596	0x15a2
0x159a	0x15a1
0x15aa	0x15b5
0x15b1	0x15b7
0x15d8	0x15e1
0x15e3	0x15fe
0x15ff	0x1613
0x17de	0x183c
0x183d	0x189b
0x18dc	0x18f3
0x18e0	0x18e8
0x18ef	0x18d7
0x18f8	0x18ff
0x1950	0x19c1
0x1a94	0x1aa1
0x1a99	0x1aa0
0x1aa3	0x1ab7
0x1ab8	0x1b0c
0x1b23	0x1b5c
0x1b5d	0x1b64
0x1c40	0x1c48
0x1c44	0x4aaf
0x1c57	0x1c64
0x1ca8	0x1cc6
0x1cd0	0x1cd7
0x1d28	0x1d99
0x1ddb	0x1e5b
0x1e5c	0x1ece
0x1ecf	0x1f4f
