0x2c0	0x13cf08b
0x2ff	0x2a251a3
0x321	0x6fdde03
0x343	0xea2d98c
0x365	0x17977c61
0x385	0x17ba1b8b
0x3a5	0x1dfb1b5a
0x3c5	0x20606b70
0x3da	0x215809ca
0x3ef	0x25fd935a
0x3ef	0x24bc1a64
0x404	0x26782247
0x426	0x328dd982
0x456	0x3932abb1
0x46b	0x3bccf4fd
0x48b	0x3e4f49e6
0x4b8	0x40e58ee5
0x4d8	0x56781388
0x4f8	0x5c60da1b
0x50d	0x791f5d23
0x522	0x7b3c71d3
0x542	0x7bdbe4d0
0x557	0xa64e024a
0x56c	0xb1126263
0x581	0xb58131b0
0x596	0xb71d1a0c
0x5b6	0xc5a56599
0x5d8	0xd13f90b4
0x5f8	0xd33219b4
0x60d	0xda35c664
0x622	0xda95691a
0x642	0xddf0b009
0x662	0xdeaaa7cc
0x677	0xe23a9a52
0x6a4	0xe48083fe
0x6b9	0xe9c714f2
0x6ce	0xf851a440
0x6e3	0xf9d28b80
0x703	0xfc4eee42
0x718	0xfe0d94c1
0x506a	0x00000000
