0x4a6	0x11588086
0x4c4	0x3e413bee
0x4c4	0x11eac855
0x4d9	0x15b18ddd
0x4e1	0x17d7de7c
0x4f6	0x1b0d8aab
0x50b	0x1bd43be3
0x51e	0x1d41ddac
0x531	0x1f1fcd51
0x539	0x1fcc5243
0x541	0x1fe4a686
0x549	0x20e7981b
0x55c	0x218751b2
0x573	0x25934cff
0x586	0x25a94688
0x58e	0x3cdc5389
0x58e	0x27614df8
0x596	0x27f8eaac
0x59e	0xac8a3773
0x59e	0x2da9a694
0x5a6	0x2e1a7d4d
0x5b9	0x6a4874a1
0x5b9	0x32d7d66d
0x5c1	0x35ab4055
0x5c9	0x37e43d37
0x5e9	0x3951f3df
0x5fc	0x39f60f86
0x604	0x3d41a26b
0x60c	0x3ea4e008
0x614	0x3f4ba83a
0x61c	0x3fc8cef3
0x624	0x440368a3
0x639	0x452a9320
0x641	0x4641257d
0x656	0x46d81932
0x65e	0x504a1647
0x666	0x54fd4d50
0x66e	0x55f4f1b9
0x676	0x5874a48e
0x67e	0x5aa6e675
0x686	0x5b257e7d
0x68e	0x5c975abb
0x696	0x68aee722
0x6a9	0x722713f7
0x6b1	0x748747e6
0x6c4	0x7e744eea
0x6cc	0x800fbcd5
0x6d4	0xdd4adfbc
0x6d4	0x82480df9
0x6dc	0x8456cb59
0x6e4	0x8457213a
0x6f7	0x853828b6
0x6ff	0x89483695
0x707	0x8a0dac4a
0x71a	0x8acdbfaf
0x73a	0x8bc7e8c4
0x742	0x8e826599
0x755	0x94112dba
0x755	0x923c1d61
0x75d	0x92eefe9b
0x770	0xaa7743d2
0x778	0xab033ea9
0x78b	0xac1e5025
0x79e	0xaced1661
0x7a6	0xaf44d16d
0x7ae	0xbb513ab9
0x7b6	0xbc063e1a
0x7be	0xc1a3d44c
0x7c6	0xc53814d2
0x7ce	0xc6def076
0x7d6	0xc7b9d530
0x7e9	0xd0e30db0
0x7f1	0xd704ba9b
0x804	0xdc4ee6f2
0x80c	0xde6e5a2d
0x830	0xe066ca13
0x838	0xe0d68925
0x840	0xeb4e55df
0x853	0xed4bdce1
0x85b	0xf1068454
0x863	0xf55462f4
0x876	0xf77c4791
0x87e	0xfb883d0c
0x5f2b	0x00000000
