0x40	[0x40, nil]
0x0	[0x0, nil]
0x60	[0x60, nil]
0x1f	[0x1f, nil]
0x4	[0x4, nil]
0xf	[0xf, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0x8	[0x8, nil]
0xd	[0xd, nil]
0x10	[0x10, nil]
0x12	[0x12, nil]
0x14	[0x14, nil]
0x19	[0x19, nil]
0x24	[0x24, nil]
0x2a	[0x2a, nil]
0x2f	[0x2f, nil]
0x35	[0x35, nil]
0x3a	[0x3a, nil]
0x42	[0x42, nil]
0x43	[0x43, nil]
0x45	[0x45, nil]
0x46	[0x46, nil]
0x49	[0x49, nil]
0x4b	[0x4b, nil]
0x4d	[0x4d, nil]
0x4f	[0x4f, nil]
0x50	[0x50, nil]
0x51	[0x51, nil]
0x53	[0x53, nil]
0x59	[0x59, nil]
0x5b	[0x5b, nil]
0x62	[0x62, nil]
0x64	[0x64, nil]
0x67	[0x67, nil]
0x6a	[0x6a, nil]
0x6b	[0x6b, nil]
0x6f	[0x6f, nil]
0x71	[0x71, nil]
0x74	[0x74, nil]
0x75	[0x75, nil]
0x79	[0x79, nil]
0x7b	[0x7b, nil]
0x7e	[0x7e, nil]
0x80	[0x80, nil]
0x81	[0x81, nil]
0x83	[0x83, nil]
0x84	[0x84, nil]
0x85	[0x85, nil]
0x87	[0x87, nil]
0x88	[0x88, nil]
0x8b	[0x8b, nil]
0x8e	[0x8e, nil]
0x8f	[0x8f, nil]
0x91	[0x91, nil]
0x94	[0x94, nil]
0x96	[0x96, nil]
0x9b	[0x9b, nil]
0xa4	[0xa4, nil]
0xa6	[0xa6, nil]
0xa7	[0xa7, nil]
0xa8	[0xa8, nil]
0xae	[0xae, nil]
0xaf	[0xaf, nil]
0xb3	[0xb3, nil]
0xb7	[0xb7, nil]
0xbb	[0xbb, nil]
0xbd	[0xbd, nil]
0xbe	[0xbe, nil]
0xc2	[0xc2, nil]
0xc8	[0xc8, nil]
0xcb	[0xcb, nil]
0xe6	[0xe6, nil]
0xe8	[0xe8, nil]
0xe9	[0xe9, nil]
0xed	[0xed, nil]
0xf3	[0xf3, nil]
0xf6	[0xf6, nil]
0xfb	[0xfb, nil]
0xfd	[0xfd, nil]
0xfe	[0xfe, nil]
0x102	[0x102, nil]
0x108	[0x108, nil]
0x10b	[0x10b, nil]
0x10e	[0x10e, nil]
0x10f	[0x10f, nil]
0x111	[0x111, nil]
0x116	[0x116, nil]
0x11d	[0x11d, nil]
0x11f	[0x11f, nil]
0x120	[0x120, nil]
0x124	[0x124, nil]
0x12a	[0x12a, nil]
0x12d	[0x12d, nil]
0x132	[0x132, nil]
0x134	[0x134, nil]
0x135	[0x135, nil]
0x137	[0x137, nil]
0x139	[0x139, nil]
0x13b	[0x13b, nil]
0x13c	[0x13c, nil]
0x13d	[0x13d, nil]
0x141	[0x141, nil]
0x143	[0x143, nil]
0x144	[0x144, nil]
0x146	[0x146, nil]
0x148	[0x148, nil]
0x14a	[0x14a, nil]
0x14b	[0x14b, nil]
0x14c	[0x14c, nil]
0x150	[0x150, nil]
0x152	[0x152, nil]
0x153	[0x153, nil]
0x155	[0x155, nil]
0x157	[0x157, nil]
0x159	[0x159, nil]
0x15a	[0x15a, nil]
0x15b	[0x15b, nil]
0x15c	[0x15c, nil]
0x15d	[0x15d, nil]
0x15e	[0x15e, nil]
0x162	[0x162, nil]
0x164	[0x164, nil]
0x165	[0x165, nil]
0x169	[0x169, nil]
0x16b	[0x16b, nil]
0x16e	[0x16e, nil]
0x170	[0x170, nil]
0x171	[0x171, nil]
0x175	[0x175, nil]
0x183	[0x183, nil]
0x185	[0x185, nil]
0x187	[0x187, nil]
0x189	[0x189, nil]
0x18a	[0x18a, nil]
