0x0	__function_selector__
0x346	nextEpochLength()
0x360	setMaxRedeemableCouponPercentPerEpoch(uint256)
0x37f	setDiscountPercent(uint256)
0x39c	initialized()
0x3b8	totalSupply()
0x3c0	setLpPoolIncentiveRate(uint256)
0x3dd	redemptedCoupons(uint256)
0x3fa	setDollarOracle(address)
0x42d	manuallyBalanceAdd(address,uint256)
0x466	getPurchasedCouponHistory(address)
0x539	bondSupply()
0x541	discountPercent()
0x549	couponSupply()
0x551	setExpiredCouponEpochs(uint256)
0x56e	maxPremiumRate()
0x576	isInitialized()
0x57e	getCouponPremiumRate()
0x586	purchasedCoupons(address,uint256)
0x5bf	setSideToken(address)
0x5f2	setPremiumPercent(uint256)
0x60f	dollarOracle()
0x640	dollar()
0x648	governanceRecoverUnsupported(address,uint256,address)
0x68b	operator()
0x693	treasury()
0x69b	purchasedEpochs(address,uint256)
0x6d4	issueNewBond(uint256)
0x6f1	balanceOf(address)
0x724	buyCoupons(uint256,uint256)
0x747	getRedeemableCoupons()
0x74f	sideToken()
0x757	epoch()
0x75f	dollarPriceOne()
0x767	setMaxDiscountRate(uint256)
0x784	getBurnableDollarLeft()
0x78c	expiredCouponEpochs()
0x794	setMaxPremiumRate(uint256)
0x7b1	lpPoolIncentiveRate()
0x7b9	maxRedeemableCouponPercentPerEpoch()
0x7c1	couponClaimed()
0x7c9	isDebtPhase()
0x7d1	setOperator(address)
0x804	maxDiscountRate()
0x80c	redeemCoupons(uint256,uint256,uint256)
0x835	initialize(address,address,address)
0x87a	couponIssued()
0x882	nextEpochPoint()
0x88a	getDollarUpdatedPrice()
0x892	premiumPercent()
0x89a	getCouponDiscountRate()
0x8a2	getDollarPrice()
0x8aa	0x8aa
0x105e	0x105e
0x1af0	0x1af0
0x1c11	0x1c11
0x1cfd	0x1cfd
0x2604	0x2604
0x266f	0x266f
0x2780	0x2780
0x282f	0x282f
0x2933	0x2933
0x29b0	0x29b0
0x29f2	0x29f2
0x2a65	0x2a65
0x2aa7	0x2aa7
0x2b34	0x2b34
0x2b53	0x2b53
0x2b72	0x2b72
0x2bef	0x2bef
0x2d24	0x2d24
0x2dfc	0x2dfc
0x2e13	0x2e13
0x2fd4	0x2fd4
0x3322	()
0x3322	fallback()
