0x1a	0x1f2
0x25	0x10d
0x30	0xa0
0x3b	0x6f
0xa8	0xdc
0x115	0x185
0x120	0x154
0x18d	0x1c1
0x1fa	0x2e2
0x205	0x275
0x210	0x244
0x27d	0x2b1
0x2ea	0x35a
0x2f5	0x329
0x362	0x396
0x3cb	0x3d3
0x3d5	0x3f70x3c7
0x3d8	0x3e2
0x410	0x418
0x41a	0x5560
0x41d	0x427
0x428	0xd4e
0x432	0x43a
0x43c	0x5581
0x455	0x45d
0x45f	0x55ae
0x462	0x46c
0x475	0x47d
0x47f	0x3f70x471
0x482	0x48c
0x495	0x49d
0x49f	0x55cf
0x4aa	0x4b2
0x4b4	0x55fc
0x4c0	0x4c8
0x4ca	0x5629
0x4d5	0x4dd
0x4df	0x3f70x4d1
0x4e2	0x4ec
0x4ed	0x10a3
0x4f5	0x4fd
0x4ff	0x3f70x4f1
0x502	0x50c
0x512	0x3f70x511
0x515	0x51f
0x520	0x116a
0x528	0x530
0x532	0x3f70x524
0x535	0x53f
0x558	0x560
0x565	0x564a
0x590	0x598
0x59a	0x3f70x58c
0x59d	0x5a7
0x5a8	0x12ad
0x5b0	0x5b8
0x5ba	0x5681
0x5c5	0x5cd
0x5cf	0x5e1
0x5d2	0x5dc
0x5f8	0x4030x5c1
0x600	0x608
0x60a	0x3f70x5fc
0x60d	0x617
0x613	0x47b2
0x618	0x1402
0x620	0x628
0x62a	0x3f70x61c
0x62d	0x637
0x640	0x648
0x64a	0x56ae
0x656	0x65e
0x660	0x6e0
0x663	0x66d
0x73f	0x4030x652
0x747	0x74f
0x751	0x56db
0x754	0x75e
0x77d	0x785
0x78a	0x5708
0x79d	0x7a5
0x7a7	0x573f
0x7aa	0x7b4
0x7d5	0x7dd
0x7e2	0x576c
0x7f5	0x7fd
0x802	0x57a3
0x815	0x81d
0x81f	0x57da
0x828	0x3f70x827
0x82b	0x835
0x831	0x48b1
0x836	0x190c
0x83e	0x846
0x848	0x3f70x83a
0x84b	0x855
0x856	0x1926
0x85e	0x866
0x874	0x5807
0x87c	0x884
0x886	0x3f70x878
0x889	0x893
0x88f	0x4718
0x894	0x19aa
0x89c	0x8a4
0x8a6	0x3f70x898
0x8a9	0x8b3
0x8b4	0x1a36
0x8bc	0x8c4
0x8c6	0x583e
0x8d1	0x8d9
0x8db	0x3f70x8cd
0x8de	0x8e8
0x901	0x909
0x90b	0x586b
0x917	0x91f
0x921	0x5898
0x92d	0x935
0x937	0x58c5
0x93a	0x944
0x94d	0x955
0x957	0x3f70x949
0x95a	0x964
0x960	0x4a87
0x965	0x1afd
0x96d	0x975
0x977	0x9b9
0x97a	0x984
0x9e2	0x4030x969
0x9ea	0x9f2
0x9f4	0x58fc
0xa00	0xa08
0xa0d	0x5929
0xa20	0xa28
0xa2a	0xa5d
0xa2d	0xa37
0xa79	0x4030xa1c
0xa81	0xa89
0xa8b	0x3f70xa7d
0xa8e	0xa98
0xab1	0xab9
0xabb	0x3f70xaad
0xabe	0xac8
0xac9	0x1b56
0xad1	0xad9
0xadb	0x3f70xacd
0xade	0xae8
0xae4	0x49a6
0xae9	0x1bb6
0xaf1	0xaf9
0xafb	0x5960
0xafe	0xb08
0xb1e	0xb26
0xb28	0x598d
0xb2b	0xb35
0xb36	0x1c52
0xb3e	0xb46
0xb48	0x3f70xb3a
0xb4b	0xb55
0xb56	0x1ce3
0xb5e	0xb66
0xb68	0x59ae
0xb6b	0xb75
0xb76	0x1d50
0xb7e	0xb86
0xb88	0x59db
0xb8b	0xb95
0xb91	0x4a4f
0xb9e	0xba6
0xbab	0x5a08
0xbbe	0xbc6
0xbc8	0x5a3f
0xbcb	0xbd5
0xbd6	0x1f12
0xbde	0xbe6
0xbe8	0x5a76
0xbeb	0xbf5
0xc0b	0xc13
0xc15	0x3f70xc07
0xc18	0xc22
0xc23	0x2015
0xc2b	0xc33
0xc35	0x5aa3
0xc3e	0x3f70xc3d
0xc41	0xc4b
0xc47	0x4902
0xc4c	0x207f
0xc54	0xc5c
0xc5e	0x3f70xc50
0xc61	0xc6b
0xc6c	0x20ae
0xc71	0x5ad0
0xc74	0x2131
0xc7c	0xc84
0xc86	0x3f70xc78
0xc89	0xc93
0xc94	0x2175
0xc9c	0xca4
0xca9	0x5af1
0xcbc	0xcc4
0xcc6	0x5b28
0xcc9	0xcd3
0xcd4	0x21d5
0xcdc	0xce4
0xce6	0x3f70xcd8
0xce9	0xcf3
0xcf4	0x22ce
0xcfc	0xd04
0xd06	0x5b49
0xd12	0xd1a
0xd1c	0x3f70xd0e
0xd1f	0xd29
0xd2a	0x2351
0xd32	0xd3a
0xd3c	0x3f70xd2e
0xd3f	0xd49
0xd45	0x4b11
0xd50	0xd61
0xd6c	0xd90
0xd7f	0x5b76
0xd9b	0xda3
0x10a7	0x10b8
0x10c3	0x10de
0x10d6	0x5ca8
0x117e	0x11c9
0x11c5	0x4e9e
0x11d6	0x11df
0x11e8	0x11f1
0x11f2	0x11fd
0x11fe	0x1207
0x1210	0x1219
0x121a	0x1223
0x125f	0x126a
0x1273	0x1280
0x1284	0x5cf8
0x12b1	0x12c2
0x12cd	0x12e8
0x12e0	0x5d23
0x1417	0x142f
0x1431	0x1453
0x1437	0x1448
0x1454	0x146f
0x1467	0x5d6f
0x1497	0x14b2
0x14aa	0x5d97
0x14fd	0x1505
0x150c	0x1519
0x1534	0x153d
0x154d	0x1581
0x1552	0x1565
0x1566	0x156f
0x1570	0x157a
0x157d	0x15ae
0x158c	0x1596
0x1597	0x15a0
0x15a1	0x15ab
0x15b5	0x15ed
0x15e9	0x4ec6
0x15f1	0x15fc
0x1626	0x166a
0x1666	0x4eee
0x1691	0x169b
0x16a8	0x16b0
0x188c	0x1897
0x190f	0x5dbf
0x192a	0x193b
0x1946	0x1961
0x1959	0x5de9
0x1966	0x19a1
0x199d	0x4f3e
0x19bf	0x19d7
0x19d9	0x19fb
0x19df	0x19f0
0x19fc	0x1a17
0x1a0f	0x5e11
0x1a18	0x1a27
0x1a4b	0x1a63
0x1a65	0x1a87
0x1a6b	0x1a7c
0x1a88	0x1aa3
0x1a9b	0x5e39
0x1b0f	0x1b4a
0x1b46	0x4f66
0x1b4b	0x5eab
0x1b5a	0x1b6b
0x1b76	0x1b91
0x1b89	0x5ed5
0x1bcb	0x1be3
0x1be5	0x1c07
0x1beb	0x1bfc
0x1c08	0x1c23
0x1c1b	0x5efd
0x1c2a	0x1c45
0x1c61	0x1c73
0x1c74	0x1c7c
0x1ce7	0x1cf8
0x1d03	0x1d1e
0x1d16	0x5f25
0x1d57	0x1d62
0x1d89	0x1d9a
0x1da5	0x1dc0
0x1db8	0x5f4d
0x1de8	0x1e20
0x1e1c	0x4f8e
0x1e29	0x1e31
0x1eb2	0x1ed1
0x1eeb	0x5f75
0x1f19	0x1f2a
0x1f8e	0x1f96
0x1f9d	0x1faa
0x2019	0x202a
0x2035	0x2050
0x2048	0x5f9d
0x2082	0x208e
0x208f	0x209e
0x20b2	0x20c3
0x20ce	0x20e9
0x20e1	0x5fc5
0x20ef	0x2128
0x2124	0x4fb6
0x2164	0x216e
0x2179	0x218a
0x2195	0x21b0
0x21a8	0x5fed
0x21d7	0x21e8
0x21f3	0x220e
0x2206	0x6015
0x2219	0x2273
0x226f	0x4fde
0x22d2	0x22e3
0x22ee	0x2309
0x2301	0x603d
0x230f	0x2348
0x2344	0x5006
0x2366	0x237e
0x2380	0x23a2
0x2386	0x2397
0x23a3	0x23be
0x23b6	0x6065
0x23bf	0x608d
0x23cf	0x23e0
0x23eb	0x2406
0x23fe	0x60b8
0x240c	0x2419
0x2415	0x19030x23cb
0x241f	0x242c
0x2428	0x19030x23cb
0x2432	0x19030x23cb
0x2460	0x2469
0x2481	0x24a6
0x24a2	0x24ab
0x24b1	0x60e0
0x2504	0x502e
0x2527	0x25a9
0x2562	0x256a
