0x0	__function_selector__
0x190	()
0x190	fallback()
0x195	setLicenseeFee(address,address,uint256)
0x1ae	rescueTokens(address)
0x1c5	withdrawTokens(address,uint256)
0x1dc	getStakedAmount(address,address)
0x206	getVaultsBalance(address)
0x22d	requestReimbursement(address,uint256,address)
0x25d	getLicenseeFee(address,address)
0x299	getLicenseeVaults(address)
0x2bf	changeVaultSwapPair(address,address)
0x2d6	newVault(address,bool,uint64,uint32,address,uint32[],address[])
0x2ed	totalReserved(address)
0x310	getAvailableTokens(address)
0x327	initialize()
0x331	getVaultOwner(address)
0x364	owner()
0x376	stake(address,uint256)
0x38d	balances(address,address)
0x3bb	getVault(address,uint256)
0x3d2	setVaultOwner(address,address)
0x3e9	settings(address)
0x4b5	staking(address,address)
0x500	unstake(address)
0x517	transferOwnership(address)
0x52e	getVaultsLength(address)
0x545	getVaults(address)
0x623	0x623
0x720	0x720
0x828	0x828
0x9c8	0x9c8
0xb36	0xb36
0xeac	0xeac
0x16b3	0x16b3
0x17ef	0x17ef
0x1997	0x1997
0x1ad4	0x1ad4
0x2073	0x2073
0x2092	0x2092
0x2108	0x2108
0x222d	0x222d
0x22a2	0x22a2
0x2470	0x2470
0x25d2	0x25d2
0x25e4	0x25e4
0x2669	0x2669
0x26db	0x26db
0x26f3	0x26f3
0x2700	0x2700
0x2720	0x2720
0x2740	0x2740
0x27c4	0x27c4
0x2898	0x2898
0x28c7	0x28c7
0x290e	0x290e
0x292e	0x292e
0x2971	0x2971
0x298b	0x298b
0x29d1	0x29d1
0x2a0f	0x2a0f
0x2a24	0x2a24
0x2a72	0x2a72
0x2aa2	0x2aa2
0x2ad5	0x2ad5
0x2afb	0x2afb
0x2b16	0x2b16
0x2b39	0x2b39
0x2b5b	0x2b5b
0x2b8d	0x2b8d
0x2ba7	0x2ba7
0x2c1d	0x2c1d
0x2c36	0x2c36
0x2c45	0x2c45
