0x0	__function_selector__
0x193	name()
0x210	changeNameAndSymbol(string,string)
0x33f	approve(address,uint256)
0x37f	totalSupply()
0x399	transferFrom(address,address,uint256)
0x3cf	mintByOwner(uint256)
0x3ec	rate()
0x3f4	lastUpdateTime(address)
0x41a	decimals()
0x438	increaseAllowance(address,uint256)
0x464	blackList(address)
0x48a	getTime()
0x492	setBlackList(address,bool)
0x4c0	updateAccountsAndChangeRate(address[],uint256)
0x565	balanceOf(address)
0x58b	changeRate(uint256)
0x5a8	initialize()
0x5b0	owner()
0x5d4	symbol()
0x5dc	decreaseAllowance(address,uint256)
0x608	changeOwner(address)
0x62e	transfer(address,uint256)
0x65a	newOwnerCandidate()
0x662	allowance(address,address)
0x690	isBlackListed(address)
0x6b6	acceptOwner()
0x6be	0x6be
0xa4e	0xa4e
0xbdd	0xbdd
0xd27	0xd27
0xda2	0xda2
0xda6	0xda6
0xe92	0xe92
0xfed	0xfed
0x1084	0x1084
0x1174	0x1174
0x11d5	0x11d5
0x128f	0x128f
0x12aa	0x12aa
0x1307	0x1307
0x1360	0x1360
0x13cd	0x13cd
0x1401	0x1401
0x148d	0x148d
0x163e	()
0x163e	fallback()
